,year,month,day,hour,forecast,temp,hum
0,2019,1,1,11,25,-1,50
1,2019,1,1,11,46,-5,70
2,2019,1,1,14,25,1,45
3,2019,1,1,14,46,1,50
4,2019,1,1,17,25,-3,60
5,2019,1,1,17,46,3,45
6,2019,1,1,20,25,-3,65
7,2019,1,1,20,46,-2,65
8,2019,1,1,23,25,-4,70
9,2019,1,1,23,46,-3,75
10,2019,1,1,2,25,-5,75
11,2019,1,1,2,46,-4,80
12,2019,1,1,5,25,-6,75
13,2019,1,1,5,46,-4,80
14,2019,1,1,8,25,-5,75
15,2019,1,1,8,46,-4,80
16,2019,1,2,11,25,1,55
17,2019,1,2,11,46,-3,75
18,2019,1,2,14,25,3,45
19,2019,1,2,14,46,4,55
20,2019,1,2,17,25,-2,65
21,2019,1,2,17,46,5,55
22,2019,1,2,20,25,-4,75
23,2019,1,2,20,46,1,70
24,2019,1,2,23,25,-4,80
25,2019,1,2,23,46,0,70
26,2019,1,2,2,25,-5,75
27,2019,1,2,2,46,-1,70
28,2019,1,2,5,25,-5,80
29,2019,1,2,5,46,-3,70
30,2019,1,2,8,25,-3,75
31,2019,1,2,8,46,-4,65
32,2019,1,3,11,25,3,55
33,2019,1,3,11,46,-3,55
34,2019,1,3,14,25,5,55
35,2019,1,3,14,46,-1,40
36,2019,1,3,17,25,1,75
37,2019,1,3,17,46,0,40
38,2019,1,3,20,25,0,75
39,2019,1,3,20,46,-3,45
40,2019,1,3,23,25,-1,70
41,2019,1,3,23,46,-4,50
42,2019,1,3,2,25,-3,70
43,2019,1,3,2,46,-5,60
44,2019,1,3,5,25,-4,65
45,2019,1,3,5,46,-6,60
46,2019,1,3,8,25,-4,60
47,2019,1,3,8,46,-6,60
48,2019,1,4,11,25,-1,40
49,2019,1,4,11,46,-4,65
50,2019,1,4,14,25,0,40
51,2019,1,4,14,46,0,45
52,2019,1,4,17,25,-2,45
53,2019,1,4,17,46,1,45
54,2019,1,4,20,25,-4,50
55,2019,1,4,20,46,-2,65
56,2019,1,4,23,25,-5,60
57,2019,1,4,23,46,-3,65
58,2019,1,4,2,25,-5,60
59,2019,1,4,2,46,-4,70
60,2019,1,4,5,25,-6,65
61,2019,1,4,5,46,-5,70
62,2019,1,4,8,25,-5,60
63,2019,1,4,8,46,-5,70
64,2019,1,5,11,25,0,45
65,2019,1,5,11,46,-4,70
66,2019,1,5,14,25,1,45
67,2019,1,5,14,46,1,50
68,2019,1,5,17,25,-2,60
69,2019,1,5,17,46,2,55
70,2019,1,5,20,25,-3,75
71,2019,1,5,20,46,0,65
72,2019,1,5,23,25,-4,75
73,2019,1,5,23,46,-2,75
74,2019,1,5,2,25,-5,75
75,2019,1,5,2,46,-1,80
76,2019,1,5,5,25,-5,70
77,2019,1,5,5,46,-1,80
78,2019,1,5,8,25,-4,70
79,2019,1,5,8,46,-1,70
80,2019,1,6,11,25,2,45
81,2019,1,6,11,46,-2,65
82,2019,1,6,14,25,2,50
83,2019,1,6,14,46,0,45
84,2019,1,6,17,25,-1,65
85,2019,1,6,17,46,1,45
86,2019,1,6,20,25,-2,75
87,2019,1,6,20,46,-2,55
88,2019,1,6,23,25,-2,80
89,2019,1,6,23,46,-3,60
90,2019,1,6,2,25,-1,75
91,2019,1,6,2,46,-5,55
92,2019,1,6,5,25,-4,75
93,2019,1,6,5,46,-6,55
94,2019,1,6,8,25,-3,65
95,2019,1,6,8,46,-8,60
96,2019,1,7,11,25,0,45
97,2019,1,7,11,46,-8,55
98,2019,1,7,14,25,0,40
99,2019,1,7,14,46,-4,35
100,2019,1,7,17,25,-2,50
101,2019,1,7,17,46,-1,40
102,2019,1,7,20,25,-3,55
103,2019,1,7,20,46,-3,50
104,2019,1,7,23,25,-5,50
105,2019,1,7,23,46,-5,65
106,2019,1,7,2,25,-7,55
107,2019,1,7,2,46,-5,70
108,2019,1,7,5,25,-9,60
109,2019,1,7,5,46,-5,75
110,2019,1,7,8,25,-8,50
111,2019,1,7,8,46,-6,70
112,2019,1,8,11,25,-3,30
113,2019,1,8,11,46,-4,70
114,2019,1,8,14,25,-1,40
115,2019,1,8,14,46,2,60
116,2019,1,8,17,25,-3,55
117,2019,1,8,17,46,5,50
118,2019,1,8,20,25,-5,70
119,2019,1,8,20,46,0,65
120,2019,1,8,23,25,-5,75
121,2019,1,8,23,46,-2,75
122,2019,1,8,2,25,-5,75
123,2019,1,8,2,46,-2,80
124,2019,1,8,5,25,-5,75
125,2019,1,8,5,46,-2,85
126,2019,1,8,8,25,-4,75
127,2019,1,8,8,46,-2,85
128,2019,1,9,11,25,2,55
129,2019,1,9,11,46,-2,85
130,2019,1,9,14,25,5,50
131,2019,1,9,14,46,4,60
132,2019,1,9,17,25,0,65
133,2019,1,9,17,46,6,55
134,2019,1,9,20,25,-1,75
135,2019,1,9,20,46,2,70
136,2019,1,9,23,25,-2,80
137,2019,1,9,23,46,-1,70
138,2019,1,9,2,25,-2,85
139,2019,1,9,2,46,-2,80
140,2019,1,9,5,25,-2,85
141,2019,1,9,5,46,-1,80
142,2019,1,9,8,25,-1,85
143,2019,1,9,8,46,-2,85
144,2019,1,10,11,25,4,60
145,2019,1,10,11,46,-1,80
146,2019,1,10,14,25,6,55
147,2019,1,10,14,46,4,60
148,2019,1,10,17,25,2,70
149,2019,1,10,17,46,6,55
