,year,month,day,hour,forecast,temp,hum
0,2020,1,1,11,25,4,75
1,2020,1,1,11,46,-1,90
2,2020,1,1,14,25,6,65
3,2020,1,1,14,46,4,65
4,2020,1,1,17,25,3,70
5,2020,1,1,17,46,5,60
6,2020,1,1,20,25,2,70
7,2020,1,1,20,46,2,75
8,2020,1,1,23,25,1,80
9,2020,1,1,23,46,0,80
10,2020,1,1,2,25,-1,85
11,2020,1,1,2,46,0,85
12,2020,1,1,5,25,-2,90
13,2020,1,1,5,46,0,90
14,2020,1,1,8,25,-1,85
15,2020,1,1,8,46,0,85
16,2020,1,2,11,25,4,65
17,2020,1,2,11,46,1,80
18,2020,1,2,14,25,6,60
19,2020,1,2,14,46,6,65
20,2020,1,2,17,25,2,75
21,2020,1,2,17,46,7,60
22,2020,1,2,20,25,0,80
23,2020,1,2,20,46,3,70
24,2020,1,2,23,25,-1,85
25,2020,1,2,23,46,2,70
26,2020,1,2,2,25,-2,85
27,2020,1,2,2,46,-1,70
28,2020,1,2,5,25,-3,85
29,2020,1,2,5,46,-2,80
30,2020,1,2,8,25,-2,85
31,2020,1,2,8,46,-4,85
32,2020,1,3,11,25,6,60
33,2020,1,3,11,46,-2,85
34,2020,1,3,14,25,7,60
35,2020,1,3,14,46,4,55
36,2020,1,3,17,25,3,70
37,2020,1,3,17,46,4,45
38,2020,1,3,20,25,1,65
39,2020,1,3,20,46,2,65
40,2020,1,3,23,25,-1,70
41,2020,1,3,23,46,1,70
42,2020,1,3,2,25,-2,80
43,2020,1,3,2,46,-1,80
44,2020,1,3,5,25,-4,80
45,2020,1,3,5,46,0,75
46,2020,1,3,8,25,-2,80
47,2020,1,3,8,46,0,75
48,2020,1,4,11,25,4,55
49,2020,1,4,11,46,1,65
50,2020,1,4,14,25,5,50
51,2020,1,4,14,46,2,75
52,2020,1,4,17,25,2,60
53,2020,1,4,17,46,3,70
54,2020,1,4,20,25,0,70
55,2020,1,4,20,46,3,85
56,2020,1,4,23,25,-1,75
57,2020,1,4,23,46,4,85
58,2020,1,4,2,25,0,70
59,2020,1,4,2,46,4,90
60,2020,1,4,5,25,0,70
61,2020,1,4,5,46,6,85
62,2020,1,4,8,25,1,65
63,2020,1,4,8,46,6,90
64,2020,1,5,11,25,3,70
65,2020,1,5,11,46,5,90
66,2020,1,5,14,25,3,75
67,2020,1,5,14,46,6,90
68,2020,1,5,17,25,4,70
69,2020,1,5,17,46,7,95
70,2020,1,5,20,25,5,80
71,2020,1,5,20,46,7,90
72,2020,1,5,23,25,5,85
73,2020,1,5,23,46,11,80
