지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
616,2016-01-01 00:00,-.4,202.5,2.2,0,,,87.4,0,0
616,2016-01-01 01:00,-1.4,201.6,1.5,0,,,90.2,0,0
616,2016-01-01 02:00,-.4,206,3.3,0,,,85.9,0,0
616,2016-01-01 03:00,-.9,225.2,.8,0,,,88.6,0,0
616,2016-01-01 04:00,-2.9,0,.3,0,,,92.3,0,0
616,2016-01-01 05:00,-3,156.1,.6,0,,,92.3,0,0
616,2016-01-01 06:00,-2.5,0,.4,0,,,92.3,0,0
616,2016-01-01 07:00,-2.3,0,.3,0,,,92.3,0,0
616,2016-01-01 08:00,-1.6,92.5,.6,0,,,92.3,0,0
616,2016-01-01 09:00,-1,133.2,.8,0,,,92.3,0,0
616,2016-01-01 10:00,1,0,.2,0,,,87.8,0,0
616,2016-01-01 11:00,4.4,92.5,.7,0,,,72.4,0,0
616,2016-01-01 12:00,5.4,219.3,1.9,0,,,62.4,0,0
616,2016-01-01 13:00,6.1,209.5,1.8,0,,,60.5,0,0
616,2016-01-01 14:00,5.5,223.9,2.2,0,,,62.8,0,0
616,2016-01-01 15:00,5.7,189.6,2.1,0,,,66.8,0,0
616,2016-01-01 16:00,5.3,200.2,1.7,0,,,65.1,0,0
616,2016-01-01 17:00,5,201.4,1.9,0,,,64.2,0,0
616,2016-01-01 18:00,4.6,181.7,1.4,0,,,75.1,0,0
616,2016-01-01 19:00,4.4,172.2,1,0,,,75.7,0,0
616,2016-01-01 20:00,4,0,.3,0,,,75.4,0,0
616,2016-01-01 21:00,4.6,174.2,.9,0,,,72.8,0,0
616,2016-01-01 22:00,4.3,148.9,.6,0,,,74.3,0,0
616,2016-01-01 23:00,3.4,93.8,.6,0,,,82.1,0,0
616,2016-01-02 00:00,3.2,138.8,.5,0,,,83,0,0
616,2016-01-02 01:00,4.6,179.6,1.1,0,,,79.3,0,0
616,2016-01-02 02:00,4.7,160.2,.8,0,,,80.9,0,0
616,2016-01-02 03:00,3.5,140,1.1,0,,,84.3,0,0
616,2016-01-02 04:00,1.7,134.1,.6,0,,,91.8,0,0
616,2016-01-02 05:00,1,114.1,.5,0,,,92.3,0,0
616,2016-01-02 06:00,.7,0,.3,0,,,92.3,0,0
616,2016-01-02 07:00,.1,128,.5,0,,,92.3,0,0
616,2016-01-02 08:00,0,123.9,.5,0,,,92.3,0,0
616,2016-01-02 09:00,5,212.8,2.1,0,,,89.6,0,0
616,2016-01-02 10:00,7.5,198.7,2.4,0,,,80.1,0,0
616,2016-01-02 11:00,8.2,193.9,2.8,0,,,77.1,0,0
616,2016-01-02 12:00,9.2,190.5,3.3,0,,,78,0,0
616,2016-01-02 13:00,9.8,203.9,2.7,0,,,77.1,0,0
616,2016-01-02 14:00,10.7,196,2.7,0,,,75,0,0
616,2016-01-02 15:00,11,214,1.8,0,,,76,0,0
616,2016-01-02 16:00,10.7,232.1,1.9,0,,,77.4,0,0
616,2016-01-02 17:00,9.3,198.1,1.9,0,,,83,0,0
616,2016-01-02 18:00,6.6,0,.4,0,,,89.6,0,0
616,2016-01-02 19:00,6.9,148.4,.9,0,,,92.3,0,0
616,2016-01-02 20:00,4.7,0,.4,0,,,92.3,0,0
616,2016-01-02 21:00,6.6,167.7,.7,0,,,92.3,0,0
616,2016-01-02 22:00,4.7,147,.7,0,,,92.3,0,0
616,2016-01-02 23:00,5.3,176.2,.7,0,,,92.3,0,0
616,2016-01-03 00:00,5.7,177.8,1,0,,,92.3,0,0
616,2016-01-03 01:00,4.5,0,.3,0,,,92.3,0,0
616,2016-01-03 02:00,5.4,197.9,.9,0,,,92.3,0,0
616,2016-01-03 03:00,5.8,189.5,1.4,0,,,92.3,0,0
616,2016-01-03 04:00,5.2,202.3,1,0,,,92.3,0,0
616,2016-01-03 05:00,5,190,1.5,0,,,92.3,0,0
616,2016-01-03 06:00,4.6,0,.4,0,,,92.3,0,0
616,2016-01-03 07:00,4,0,.4,0,,,92.3,0,0
616,2016-01-03 08:00,2.9,0,.2,0,,,92.3,0,0
616,2016-01-03 09:00,4.2,0,.4,0,,,92.3,0,0
616,2016-01-03 10:00,6.5,186.2,.7,0,,,92.3,0,0
616,2016-01-03 11:00,7.4,240.4,1.1,0,,,92.3,0,0
616,2016-01-03 12:00,9,214.6,2.1,0,,,92.3,0,0
616,2016-01-03 13:00,9.6,193.2,2.6,0,,,84.4,0,0
616,2016-01-03 14:00,10.5,189.8,2,0,,,70.4,0,0
616,2016-01-03 15:00,10.1,174.4,1.9,0,,,70.1,0,0
616,2016-01-03 16:00,10.2,183.4,1.8,0,,,71.4,0,0
616,2016-01-03 17:00,8.6,205,1.1,0,,,77.5,0,0
616,2016-01-03 18:00,5.6,0,.4,0,,,90.1,0,0
616,2016-01-03 19:00,4.5,0,.4,0,,,92.3,0,0
616,2016-01-03 20:00,6.2,173.7,.8,0,,,92.3,0,0
616,2016-01-03 21:00,6.1,199.7,1.4,0,,,92.3,0,0
616,2016-01-03 22:00,5.7,0,.3,0,,,92.3,0,0
616,2016-01-03 23:00,5.4,197.8,.7,0,,,92.3,0,0
616,2016-01-04 00:00,4.7,185.7,.5,0,,,92.3,0,0
616,2016-01-04 01:00,4.8,316.2,1.4,0,,,92.3,0,0
616,2016-01-04 02:00,4.8,0,.2,0,,,92.3,0,0
616,2016-01-04 03:00,4.7,303.7,.5,0,,,92.3,0,0
616,2016-01-04 04:00,4.8,188,.7,0,,,92.3,0,0
