지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
616,2018-01-01 00:00,-3.2,0,0,0,,,81.6,,
616,2018-01-01 01:00,-3.7,0,.3,0,,,78.9,,
616,2018-01-01 02:00,-4.5,0,.1,0,,,84.7,,
616,2018-01-01 03:00,-4.8,0,.1,0,,,88.8,,
616,2018-01-01 04:00,-4.7,197.5,.6,0,,,86.8,,
616,2018-01-01 05:00,-4.5,174.1,.5,0,,,85.8,,
616,2018-01-01 06:00,-4.7,182.9,.6,0,,,84.9,,
616,2018-01-01 07:00,-5.6,160.5,.5,0,,,86,,
616,2018-01-01 08:00,-6.4,142.9,.6,0,,,86.1,,
616,2018-01-01 09:00,-4.4,144,.5,0,,,88.3,,
616,2018-01-01 10:00,-.5,154.1,.6,0,,,67.6,,
616,2018-01-01 11:00,1.2,14.9,.8,0,,,50.2,,
616,2018-01-01 12:00,1.7,72.5,.9,0,,,39.2,,
616,2018-01-01 13:00,2.5,3.4,1.5,0,,,42.6,,
616,2018-01-01 14:00,3.5,203.5,.9,0,,,42.1,,
616,2018-01-01 15:00,3,21.9,1.5,0,,,41.9,,
616,2018-01-01 16:00,3.5,318.7,1.4,0,,,50.6,,
616,2018-01-01 17:00,1.7,0,.2,0,,,60.3,,
616,2018-01-01 18:00,-.9,0,.4,0,,,70,,
616,2018-01-01 19:00,-1.7,213.7,.7,0,,,75.3,,
616,2018-01-01 20:00,-2.6,0,0,0,,,80.9,,
616,2018-01-01 21:00,-1.2,193.7,1.8,0,,,72.5,,
616,2018-01-01 22:00,-1.1,191.8,2,0,,,69.9,,
616,2018-01-01 23:00,-1.2,190.5,2.1,0,,,73.5,,
616,2018-01-02 00:00,-1.5,192.2,1.5,0,,,78.1,,
616,2018-01-02 01:00,-1.5,192.7,1.9,0,,,85.3,,
616,2018-01-02 02:00,-1.3,194,2.7,0,,,86.2,,
616,2018-01-02 03:00,-1.3,191.5,2.8,0,,,87.1,,
616,2018-01-02 04:00,-1.2,192.1,2.3,0,,,89.1,,
616,2018-01-02 05:00,-1.3,190.4,2,0,,,91.7,,
616,2018-01-02 06:00,-1.4,194,1.6,0,,,93,,
616,2018-01-02 07:00,-1.5,194.2,1.5,0,,,93.4,,
616,2018-01-02 08:00,-2.7,0,0,0,,,93.4,,
616,2018-01-02 09:00,-3.2,0,.1,0,,,93.4,,
616,2018-01-02 10:00,-1.3,347.4,.9,0,,,93.4,,
616,2018-01-02 11:00,-.3,26.9,1.2,0,,,85.9,,
616,2018-01-02 12:00,.7,333.6,1,0,,,73.3,,
616,2018-01-02 13:00,1.3,5,2.5,0,,,56.3,,
616,2018-01-02 14:00,1.8,341.5,2.2,0,,,49.6,,
616,2018-01-02 15:00,1.4,317.7,2.7,0,,,43.2,,
616,2018-01-02 16:00,.5,310.6,2.3,0,,,44.5,,
616,2018-01-02 17:00,-.3,313.7,1.6,0,,,47.9,,
616,2018-01-02 18:00,-1.1,332.2,1.4,0,,,52.8,,
616,2018-01-02 19:00,-1.4,325.9,.8,0,,,52.7,,
616,2018-01-02 20:00,-1.2,236.4,1,0,,,50.5,,
616,2018-01-02 21:00,-1.2,300.5,.8,0,,,52.3,,
616,2018-01-02 22:00,-1.2,318.9,2.2,0,,,51.4,,
616,2018-01-02 23:00,-1.7,320.1,2.6,0,,,58.3,,
616,2018-01-03 00:00,-2.8,328.1,2.1,0,,,57.1,,
616,2018-01-03 01:00,-3.5,354.2,3.1,0,,,53.3,,
616,2018-01-03 02:00,-3.8,319.5,2.3,0,,,57.2,,
616,2018-01-03 03:00,-4,321.3,1.9,0,,,61.2,,
616,2018-01-03 04:00,-3.9,356.1,1.1,0,,,62.1,,
616,2018-01-03 05:00,-4.1,317.2,1.9,0,,,59.4,,
616,2018-01-03 06:00,-4.6,357,1.3,0,,,63,,
616,2018-01-03 07:00,-5.6,329.7,1.3,0,,,71.6,,
616,2018-01-03 08:00,-5.5,288.8,.8,0,,,70.9,,
616,2018-01-03 09:00,-4.1,354.1,1.4,0,,,66.5,,
616,2018-01-03 10:00,-2.2,332.6,2.9,0,,,59.3,,
616,2018-01-03 11:00,-1.5,322.3,3.5,0,,,53.8,,
616,2018-01-03 12:00,-1.3,325.1,3.5,0,,,49.9,,
616,2018-01-03 13:00,-.9,327.9,2.7,0,,,57.7,,
616,2018-01-03 14:00,-.7,311.9,3.4,0,,,59.5,,
616,2018-01-03 15:00,-1.4,319.7,3.4,0,,,59.7,,
616,2018-01-03 16:00,-2,314.8,3.1,0,,,59.4,,
616,2018-01-03 17:00,-2.7,316.3,1.8,0,,,62.9,,
616,2018-01-03 18:00,-3.9,208.6,.5,0,,,69,,
616,2018-01-03 19:00,-4.1,180.8,.7,0,,,70.1,,
616,2018-01-03 20:00,-3.6,234.5,1.2,0,,,74.8,,
616,2018-01-03 21:00,-4.8,228.4,1,0,,,81.2,,
616,2018-01-03 22:00,-4.1,335.9,1.8,0,,,75.1,,
616,2018-01-03 23:00,-3.8,317.8,3.2,0,,,72,,
616,2018-01-04 00:00,-4.3,315.9,3,0,,,71.2,,
616,2018-01-04 01:00,-5.1,317.7,2.7,0,,,65.7,,
616,2018-01-04 02:00,-5.5,348,2.2,0,,,63,,
616,2018-01-04 03:00,-6.1,320.8,.8,0,,,64.9,,
616,2018-01-04 04:00,-5.9,339.8,1.1,0,,,63.5,,
616,2018-01-04 05:00,-6,353.2,.6,0,,,64.2,,
616,2018-01-04 06:00,-6.6,0,.3,0,,,67.8,,
616,2018-01-04 07:00,-6.9,222.7,.5,0,,,71.2,,
616,2018-01-04 08:00,-7.3,0,.2,0,,,74.2,,
616,2018-01-04 09:00,-6.4,0,.4,0,,,73,,
616,2018-01-04 10:00,-5,21.5,1.1,0,,,57.7,,
616,2018-01-04 11:00,-3.9,44.1,1.2,0,,,55.5,,
616,2018-01-04 12:00,-3.2,353.1,1.9,0,,,56.1,,
616,2018-01-04 13:00,-2.5,2,1.7,0,,,55.4,,
616,2018-01-04 14:00,-2.6,2.2,2.3,0,,,54.4,,
616,2018-01-04 15:00,-2.9,344.6,1.8,0,,,57.5,,
616,2018-01-04 16:00,-3.2,349.8,1.8,0,,,55.9,,
616,2018-01-04 17:00,-3.6,313.1,1.6,0,,,60.5,,
616,2018-01-04 18:00,-3.9,314.4,1,0,,,63.2,,
616,2018-01-04 19:00,-4,257.8,.7,0,,,64.6,,
616,2018-01-04 20:00,-4.2,0,0,0,,,65,,
616,2018-01-04 21:00,-4.2,0,.1,0,,,66.3,,
616,2018-01-04 22:00,-4.4,209.5,1.4,0,,,68.3,,
616,2018-01-04 23:00,-5.2,0,0,0,,,73.7,,
616,2018-01-05 00:00,-5.3,170.3,.6,0,,,73.7,,
616,2018-01-05 01:00,-5.3,0,.1,0,,,76,,
616,2018-01-05 02:00,-5.8,0,.4,0,,,73.8,,
616,2018-01-05 03:00,-6,0,.3,0,,,78.2,,
616,2018-01-05 04:00,-5.9,183.5,.8,0,,,76.4,,
616,2018-01-05 05:00,-5.8,0,.2,0,,,74.8,,
616,2018-01-05 06:00,-6.2,0,.2,0,,,77.7,,
616,2018-01-05 07:00,-6.4,0,.1,0,,,80.6,,
616,2018-01-05 08:00,-6,0,.3,0,,,85.2,,
616,2018-01-05 09:00,-4.8,0,.3,0,,,77.4,,
616,2018-01-05 10:00,-2.1,220.9,1.2,0,,,67.9,,
616,2018-01-05 11:00,-.5,320.4,2.3,0,,,64.2,,
616,2018-01-05 12:00,1.4,289.6,2.1,0,,,59.6,,
616,2018-01-05 13:00,1.1,319.2,3.6,0,,,57.6,,
616,2018-01-05 14:00,2.5,255.3,2.2,0,,,57.7,,
616,2018-01-05 15:00,1.5,233.7,3.2,0,,,60.3,,
616,2018-01-05 16:00,.4,295.7,1.7,0,,,66.5,,
616,2018-01-05 17:00,-.2,312.2,1.8,0,,,70.4,,
616,2018-01-05 18:00,-.5,312.6,.8,0,,,72.9,,
616,2018-01-05 19:00,-.9,312.3,.5,0,,,71.8,,
616,2018-01-05 20:00,-1.5,0,.4,0,,,76.1,,
616,2018-01-05 21:00,-1.6,215.3,1,0,,,75.8,,
616,2018-01-05 22:00,-1.4,213.3,1,0,,,74.5,,
616,2018-01-05 23:00,-1.8,307.1,.9,0,,,78.8,,
616,2018-01-06 00:00,-2.1,318.1,.7,0,,,80.7,,
616,2018-01-06 01:00,-2.2,316.6,2.5,0,,,68,,
616,2018-01-06 02:00,-3,286.7,.6,0,,,76.6,,
616,2018-01-06 03:00,-4,284.8,.7,0,,,81.5,,
616,2018-01-06 04:00,-4.8,0,.1,0,,,80.9,,
616,2018-01-06 05:00,-5.5,0,.1,0,,,86.2,,
616,2018-01-06 06:00,-6.5,0,.1,0,,,89.1,,
616,2018-01-06 07:00,-6.1,193.4,.7,0,,,87.3,,
616,2018-01-06 08:00,-6.1,207.8,.5,0,,,85.7,,
616,2018-01-06 09:00,-4.2,207.4,.7,0,,,81.6,,
616,2018-01-06 10:00,-.5,339.4,.9,0,,,72.1,,
616,2018-01-06 11:00,1.1,308,2.1,0,,,63.6,,
616,2018-01-06 12:00,1.8,309,2.1,0,,,57.7,,
616,2018-01-06 13:00,2.2,319.9,2.6,0,,,53.8,,
616,2018-01-06 14:00,2.7,331.1,2.7,0,,,50.2,,
616,2018-01-06 15:00,1.9,346.2,2.6,0,,,45.4,,
616,2018-01-06 16:00,1.2,309,1.7,0,,,49.1,,
616,2018-01-06 17:00,-.3,311.9,1.7,0,,,55.4,,
616,2018-01-06 18:00,-2.4,0,.3,0,,,66.8,,
616,2018-01-06 19:00,-2.6,221.9,1.2,0,,,71.8,,
616,2018-01-06 20:00,-3.5,212.7,1.1,0,,,75.5,,
616,2018-01-06 21:00,-3.3,201.7,1.4,0,,,73.6,,
616,2018-01-06 22:00,-4.2,156.4,.6,0,,,77.1,,
616,2018-01-06 23:00,-4.9,0,.2,0,,,84.6,,
616,2018-01-07 00:00,-5,138,.5,0,,,83.6,,
616,2018-01-07 01:00,-6.3,181.1,.9,0,,,90.2,,
616,2018-01-07 02:00,-6.2,0,.2,0,,,91.5,,
616,2018-01-07 03:00,-7,179.7,.7,0,,,92.1,,
616,2018-01-07 04:00,-7,0,.2,0,,,93.4,,
616,2018-01-07 05:00,-7.8,0,.1,0,,,93.4,,
616,2018-01-07 06:00,-7.5,93.3,.9,0,,,93.4,,
616,2018-01-07 07:00,-6.7,92.9,1.1,0,,,93.3,,
616,2018-01-07 08:00,-5.9,97.1,.7,0,,,93.4,,
616,2018-01-07 09:00,-4.6,0,.1,0,,,92.6,,
616,2018-01-07 10:00,-2.7,0,.4,0,,,76.6,,
616,2018-01-07 11:00,-.2,165.6,1.2,0,,,68,,
616,2018-01-07 12:00,.3,12.3,1,0,,,65.4,,
616,2018-01-07 13:00,.5,8.8,.8,0,,,60.7,,
616,2018-01-07 14:00,1.1,44.9,.8,0,,,62,,
616,2018-01-07 15:00,1,97.1,.9,0,,,54.6,,
616,2018-01-07 16:00,.7,80.5,1.4,0,,,52.9,,
616,2018-01-07 17:00,.5,168.7,.6,0,,,57.8,,
616,2018-01-07 18:00,-.2,0,.1,0,,,64.6,,
616,2018-01-07 19:00,-.4,0,.2,0,,,66.9,,
616,2018-01-07 20:00,-.5,0,0,0,,,67.9,,
616,2018-01-07 21:00,-.5,0,.3,0,,,73.3,,
616,2018-01-07 22:00,-.4,0,.1,0,,,72.2,,
616,2018-01-07 23:00,-.6,0,.3,0,,,71.6,,
616,2018-01-08 00:00,-.4,0,0,0,,,71.7,,
616,2018-01-08 01:00,-.4,0,.1,0,,,68,,
616,2018-01-08 02:00,-.3,0,.2,0,,,72.3,,
616,2018-01-08 03:00,-.2,0,0,0,,,72.1,,
616,2018-01-08 04:00,-.2,294.7,.7,0,,,74.6,,
616,2018-01-08 05:00,-.5,0,.4,0,,,77.6,,
616,2018-01-08 06:00,-.5,256.9,.8,0,,,84.9,,
616,2018-01-08 07:00,-1,155.3,.5,0,,,91.6,,
616,2018-01-08 08:00,-1,157.8,.5,0,,,93.4,,
616,2018-01-08 09:00,-.5,175.3,.6,0,,,92.9,,
616,2018-01-08 10:00,.7,193.5,1.1,0,,,87.2,,
616,2018-01-08 11:00,1.7,211.7,.9,0,,,74.4,,
616,2018-01-08 12:00,2.4,264.2,.9,0,,,70,,
616,2018-01-08 13:00,2.9,253,1.3,0,,,62.3,,
616,2018-01-08 14:00,3,203.7,1,0,,,66.9,,
616,2018-01-08 15:00,3.6,202.9,1.6,0,,,57.9,,
616,2018-01-08 16:00,3,195.4,2.2,0,,,67,,
616,2018-01-08 17:00,2.2,227.1,2.2,0,,,73,,
616,2018-01-08 18:00,.9,205.3,1.4,0,,,93.4,,
616,2018-01-08 19:00,1.5,239.7,2.3,0,,,93.4,,
616,2018-01-08 20:00,2,268.4,2.9,0,,,88.4,,
616,2018-01-08 21:00,1.3,297.8,2.5,0,,,75.3,,
616,2018-01-08 22:00,0,280.3,3.5,0,,,79.9,,
616,2018-01-08 23:00,-1.3,320.2,2.6,0,,,91.2,,
616,2018-01-09 00:00,-1.4,299.2,2.6,.5,,,90.7,,
616,2018-01-09 01:00,-1.3,297.2,2.4,.5,,,84.8,,
616,2018-01-09 02:00,-2.5,278,2.2,0,,,93.4,,
616,2018-01-09 03:00,-2.4,312.6,4.2,0,,,91.3,,
616,2018-01-09 04:00,-3,318.4,3.2,.5,,,93.4,,
616,2018-01-09 05:00,-3,318.7,3.9,0,,,74.3,,
616,2018-01-09 06:00,-3.1,319.9,2.4,0,,,75.7,,
616,2018-01-09 07:00,-3.6,318.2,4,0,,,92,,
616,2018-01-09 08:00,-3.7,309.9,1.7,0,,,93.1,,
616,2018-01-09 09:00,-3.7,315.9,3.6,.5,,,93.4,,
616,2018-01-09 10:00,-2.7,314.8,2.4,0,,,89,,
616,2018-01-09 11:00,-2.6,316.1,3.9,0,,,77.6,,
616,2018-01-09 12:00,-2.1,304.8,2,0,,,79.9,,
616,2018-01-09 13:00,-1.8,318.6,4,0,,,78.5,,
616,2018-01-09 14:00,-1.2,306,2.4,0,,,82.1,,
616,2018-01-09 15:00,-2,319.3,2.8,0,,,90.9,,
616,2018-01-09 16:00,-1.5,314.7,4.6,0,,,78.9,,
616,2018-01-09 17:00,-2.1,315.2,2,0,,,79.1,,
616,2018-01-09 18:00,-2.6,325.7,1,0,,,74.7,,
616,2018-01-09 19:00,-2.9,0,0,0,,,82.2,,
616,2018-01-09 20:00,-3.1,0,0,0,,,85.1,,
616,2018-01-09 21:00,-3.7,0,0,.5,,,93.4,,
616,2018-01-09 22:00,-5.2,0,.2,0,,,93.4,,
616,2018-01-09 23:00,-4,175.8,.7,0,,,93.4,,
616,2018-01-10 00:00,-2.8,211.7,2,.5,,,93.4,,
616,2018-01-10 01:00,-2.5,261.7,.8,2,,,93.4,,
616,2018-01-10 02:00,-3.4,306.4,1.8,1,,,93.4,,
616,2018-01-10 03:00,-4.9,7.7,2.1,0,,,93.4,,
616,2018-01-10 04:00,-6.1,353,1.4,0,,,92,,
616,2018-01-10 05:00,-8.9,0,.1,0,,,93.4,,
616,2018-01-10 06:00,-9.4,0,.1,0,,,93.4,,
616,2018-01-10 07:00,-10.2,0,.1,0,,,93.4,,
616,2018-01-10 08:00,-8.1,0,0,0,,,93.4,,
616,2018-01-10 09:00,-6.3,311.9,.5,0,,,90.1,,
616,2018-01-10 10:00,-4.8,320,2.3,0,,,70.7,,
616,2018-01-10 11:00,-4.4,326.3,3,0,,,69.4,,
616,2018-01-10 12:00,-4.3,316.5,2.9,0,,,72.3,,
616,2018-01-10 13:00,-4.9,314.5,4.8,0,,,70.6,,
616,2018-01-10 14:00,-4.8,318.3,3.7,0,,,70.7,,
616,2018-01-10 15:00,-4.9,313.4,4.6,0,,,68.7,,
616,2018-01-10 16:00,-5.9,319.1,4,0,,,73.6,,
616,2018-01-10 17:00,-6.1,316.6,3,0,,,70.3,,
616,2018-01-10 18:00,-6.5,320.3,3.7,0,,,65.4,,
616,2018-01-10 19:00,-6.8,319.2,4.1,0,,,64.6,,
616,2018-01-10 20:00,-7,316.7,3.5,0,,,61.4,,
616,2018-01-10 21:00,-7.4,314.5,3.5,0,,,59.4,,
616,2018-01-10 22:00,-7.3,318.2,2.8,0,,,60.2,,
616,2018-01-10 23:00,-7.6,334,2.7,0,,,63,,
616,2018-01-11 00:00,-7.8,320.2,2.9,0,,,67.1,,
616,2018-01-11 01:00,-8,322.3,2.2,0,,,67.9,,
616,2018-01-11 02:00,-7.9,316.4,3.4,0,,,63.4,,
616,2018-01-11 03:00,-8,319.7,4.2,0,,,61.5,,
616,2018-01-11 04:00,-8.3,322.7,3.1,0,,,61.7,,
616,2018-01-11 05:00,-8.5,315.5,3.6,0,,,62.3,,
616,2018-01-11 06:00,-8.6,322.9,3.2,0,,,63.9,,
616,2018-01-11 07:00,-8.7,311.9,3,0,,,63.5,,
616,2018-01-11 08:00,-8.7,325.5,2.8,0,,,64.7,,
616,2018-01-11 09:00,-8.7,320.2,2.8,0,,,67.7,,
616,2018-01-11 10:00,-8.2,315.4,2.9,0,,,64.6,,
616,2018-01-11 11:00,-7.9,316,3.8,0,,,63.1,,
616,2018-01-11 12:00,-7.6,316.2,4.7,0,,,64.6,,
616,2018-01-11 13:00,-7.1,316.8,5.1,0,,,60.1,,
616,2018-01-11 14:00,-7.6,318.1,3.9,0,,,64.5,,
616,2018-01-11 15:00,-8.1,317.2,4.6,0,,,62.7,,
616,2018-01-11 16:00,-8.4,314.4,4,0,,,64.1,,
616,2018-01-11 17:00,-8.6,318.2,3.9,0,,,63.3,,
616,2018-01-11 18:00,-8.7,317.9,3.9,0,,,63.1,,
616,2018-01-11 19:00,-9,321.1,3.4,0,,,61.6,,
616,2018-01-11 20:00,-9,312.8,4.3,0,,,63.8,,
616,2018-01-11 21:00,-9.5,323.9,4.2,0,,,65.9,,
616,2018-01-11 22:00,-9.9,321.8,3.6,0,,,67.5,,
616,2018-01-11 23:00,-10.4,317.9,3,0,,,67.4,,
616,2018-01-12 00:00,-10.5,322.8,2.7,0,,,67.1,,
616,2018-01-12 01:00,-10.3,316.8,2.9,0,,,69.1,,
616,2018-01-12 02:00,-10.3,321.2,2.6,0,,,71.9,,
616,2018-01-12 03:00,-10.5,325,1.7,0,,,80.9,,
616,2018-01-12 04:00,-11,315.8,1.1,0,,,85.3,,
616,2018-01-12 05:00,-11.9,0,.4,0,,,88.5,,
616,2018-01-12 06:00,-11.8,0,.3,0,,,90.8,,
616,2018-01-12 07:00,-11.8,0,.1,0,,,87.8,,
616,2018-01-12 08:00,-11.4,22.5,1.2,0,,,82.7,,
616,2018-01-12 09:00,-12.1,0,.4,0,,,86.7,,
616,2018-01-12 10:00,-11,70.2,1.4,0,,,83,,
616,2018-01-12 11:00,-9.1,335.8,.7,0,,,73.1,,
616,2018-01-12 12:00,-8.4,7.1,2,0,,,68,,
616,2018-01-12 13:00,-7.3,340.6,1.2,0,,,64.8,,
616,2018-01-12 14:00,-5.9,308.1,2.7,0,,,55.4,,
616,2018-01-12 15:00,-5.4,322.5,2,0,,,53.7,,
616,2018-01-12 16:00,-5.4,312.6,1.6,0,,,42.1,,
616,2018-01-12 17:00,-6.4,340.9,.7,0,,,50.8,,
616,2018-01-12 18:00,-7.2,0,.2,0,,,56.8,,
616,2018-01-12 19:00,-7.8,190.8,1.1,0,,,62.2,,
616,2018-01-12 20:00,-7.7,0,.4,0,,,64.5,,
616,2018-01-12 21:00,-7.3,138.4,.7,0,,,66.7,,
616,2018-01-12 22:00,-6.9,0,.1,0,,,65.4,,
616,2018-01-12 23:00,-6.7,0,.2,0,,,66,,
616,2018-01-13 00:00,-6.9,106.8,.8,0,,,69.1,,
616,2018-01-13 01:00,-7.4,113.5,1.1,0,,,75.6,,
616,2018-01-13 02:00,-7.5,115.4,1.1,0,,,86,,
616,2018-01-13 03:00,-7.4,103.8,.8,0,,,90.5,,
616,2018-01-13 04:00,-7.4,98.5,.9,0,,,92.7,,
616,2018-01-13 05:00,-7.3,0,.3,0,,,93.4,,
616,2018-01-13 06:00,-7.1,96.3,.6,0,,,93.4,,
616,2018-01-13 07:00,-7.1,101.1,.7,0,,,93.4,,
616,2018-01-13 08:00,-6.9,126,.5,0,,,93.4,,
616,2018-01-13 09:00,-6.3,92.5,1.3,0,,,93.4,,
616,2018-01-13 10:00,-5,96.7,1,0,,,90.4,,
616,2018-01-13 11:00,-2.7,77.9,.8,0,,,82,,
616,2018-01-13 12:00,-.6,37.6,1.1,0,,,74.5,,
616,2018-01-13 13:00,1.1,59.1,1.4,0,,,69.8,,
616,2018-01-13 14:00,.9,50.9,.9,0,,,71.2,,
616,2018-01-13 15:00,1.5,56.4,.6,0,,,70.5,,
616,2018-01-13 16:00,2,60,.7,0,,,69.7,,
616,2018-01-13 17:00,.4,93.7,.9,0,,,75.5,,
616,2018-01-13 18:00,-1.9,98.1,.6,0,,,84.4,,
616,2018-01-13 19:00,-2.9,91.6,.6,0,,,89.3,,
616,2018-01-13 20:00,-3.6,112.7,.6,0,,,92.1,,
616,2018-01-13 21:00,-4.2,0,.3,0,,,93.4,,
616,2018-01-13 22:00,-5.5,0,.1,0,,,93.4,,
616,2018-01-13 23:00,-5.4,0,.2,0,,,93.4,,
616,2018-01-14 00:00,-5.9,0,0,0,,,93.4,,
616,2018-01-14 01:00,-6.2,148.3,.5,0,,,93.4,,
616,2018-01-14 02:00,-6,0,.3,0,,,93.4,,
616,2018-01-14 03:00,-6.1,0,.1,0,,,93.4,,
616,2018-01-14 04:00,-6.7,0,.1,0,,,93.4,,
616,2018-01-14 05:00,-6.7,0,.3,0,,,93.4,,
616,2018-01-14 06:00,-7,0,.1,0,,,93.4,,
616,2018-01-14 07:00,-7,0,0,0,,,93.4,,
616,2018-01-14 08:00,-6.7,0,.3,0,,,93.4,,
616,2018-01-14 09:00,-5.1,94.4,.8,0,,,93.4,,
616,2018-01-14 10:00,-2.4,92.9,1.4,0,,,93.4,,
616,2018-01-14 11:00,1.4,89.3,1,0,,,77.7,,
616,2018-01-14 12:00,3.6,140.4,1.2,0,,,66.3,,
616,2018-01-14 13:00,4.6,187.8,1.6,0,,,63,,
616,2018-01-14 14:00,5.6,160,1.5,0,,,58.9,,
616,2018-01-14 15:00,5,133.3,1.2,0,,,58.3,,
616,2018-01-14 16:00,4.1,114.9,1,0,,,62.4,,
616,2018-01-14 17:00,3.5,112.9,1.2,0,,,65.3,,
616,2018-01-14 18:00,3,118.5,1.2,0,,,69.1,,
616,2018-01-14 19:00,1.8,0,.1,0,,,76.2,,
616,2018-01-14 20:00,1.8,0,.1,0,,,79,,
616,2018-01-14 21:00,3.3,149.4,1.5,0,,,75.6,,
616,2018-01-14 22:00,2.8,193.7,.6,0,,,76.4,,
616,2018-01-14 23:00,4.4,164.1,1.1,0,,,80.8,,
616,2018-01-15 00:00,5,189.8,1.7,0,,,78.7,,
616,2018-01-15 01:00,4.6,185.1,2.3,0,,,83.5,,
616,2018-01-15 02:00,5,197.2,2.6,0,,,84.6,,
616,2018-01-15 03:00,4.8,195.5,2.4,0,,,87.6,,
616,2018-01-15 04:00,4.4,190.2,2.5,0,,,90.5,,
616,2018-01-15 05:00,4.7,185.5,3.2,0,,,92.7,,
616,2018-01-15 06:00,4.7,187.2,1.9,0,,,93.4,,
616,2018-01-15 07:00,4.6,226.2,1.1,0,,,93.4,,
616,2018-01-15 08:00,2.9,200.4,.5,0,,,93.4,,
