,year,month,day,hour,forecast,temp,hum
155,2017,1,10,17,46,-3,70
156,2017,1,10,20,25,1,70
157,2017,1,10,20,46,-4,70
158,2017,1,10,23,25,0,75
159,2017,1,10,23,46,-5,70
160,2017,1,11,2,25,3,55
161,2017,1,11,2,46,-5,65
162,2017,1,11,5,25,3,50
163,2017,1,11,5,46,0,60
164,2017,1,11,8,25,-1,55
165,2017,1,11,8,46,-2,65
166,2017,1,11,11,25,-2,60
167,2017,1,11,11,46,-2,55
168,2017,1,11,14,25,-3,60
169,2017,1,11,14,46,-3,60
170,2017,1,11,17,25,-4,65
171,2017,1,11,17,46,-4,55
172,2017,1,11,20,25,-5,75
173,2017,1,11,20,46,-5,50
174,2017,1,11,23,25,-5,70
175,2017,1,11,23,46,-6,50
176,2017,1,12,2,25,-2,60
177,2017,1,12,2,46,-6,45
178,2017,1,12,5,25,-2,60
179,2017,1,12,5,46,-5,40
180,2017,1,12,8,25,-2,55
181,2017,1,12,8,46,-4,40
182,2017,1,12,11,25,-3,60
183,2017,1,12,11,46,-6,40
184,2017,1,12,14,25,-4,55
185,2017,1,12,14,46,-6,45
186,2017,1,12,17,25,-5,50
187,2017,1,12,17,46,-7,45
188,2017,1,12,20,25,-6,50
189,2017,1,12,20,46,-8,55
190,2017,1,12,23,25,-7,45
191,2017,1,12,23,46,-8,60
192,2017,1,13,2,25,-5,35
193,2017,1,13,2,46,-7,55
194,2017,1,13,5,25,-4,35
195,2017,1,13,5,46,-3,40
196,2017,1,13,8,25,-6,40
197,2017,1,13,8,46,-1,40
198,2017,1,13,11,25,-6,40
199,2017,1,13,11,46,-2,50
200,2017,1,13,14,25,-7,45
201,2017,1,13,14,46,-3,55
202,2017,1,13,17,25,-8,55
203,2017,1,13,17,46,-4,60
204,2017,1,13,20,25,-8,60
205,2017,1,13,20,46,-5,55
206,2017,1,13,23,25,-6,55
207,2017,1,13,23,46,-6,60
208,2017,1,14,2,25,-2,40
209,2017,1,14,2,46,-5,55
210,2017,1,14,5,25,0,40
211,2017,1,14,5,46,0,35
212,2017,1,14,8,25,-1,45
213,2017,1,14,8,46,1,40
214,2017,1,14,11,25,-3,55
215,2017,1,14,11,46,-3,60
216,2017,1,14,14,25,-4,55
217,2017,1,14,14,46,-4,70
218,2017,1,14,17,25,-4,55
219,2017,1,14,17,46,-5,80
220,2017,1,14,20,25,-6,60
221,2017,1,14,20,46,-6,80
222,2017,1,14,23,25,-5,55
223,2017,1,14,23,46,-7,85
224,2017,1,15,2,25,0,40
225,2017,1,15,2,46,-5,70
226,2017,1,15,5,25,1,40
227,2017,1,15,5,46,2,40
228,2017,1,15,8,25,-3,65
229,2017,1,15,8,46,3,45
230,2017,1,15,11,25,-4,70
231,2017,1,15,11,46,0,70
232,2017,1,15,14,25,-6,80
233,2017,1,15,14,46,-3,75
234,2017,1,15,17,25,-7,80
235,2017,1,15,17,46,-2,80
236,2017,1,15,20,25,-7,85
237,2017,1,15,20,46,-2,80
238,2017,1,15,23,25,-5,70
239,2017,1,15,23,46,-2,80
240,2017,1,16,2,25,2,30
241,2017,1,16,2,46,-2,80
242,2017,1,16,5,25,3,45
243,2017,1,16,5,46,4,60
244,2017,1,16,8,25,-1,70
245,2017,1,16,8,46,4,60
246,2017,1,16,11,25,-3,75
247,2017,1,16,11,46,0,70
248,2017,1,16,14,25,-3,75
249,2017,1,16,14,46,-1,75
250,2017,1,16,17,25,-2,80
251,2017,1,16,17,46,-2,75
252,2017,1,16,20,25,-2,80
253,2017,1,16,20,46,-3,75
254,2017,1,16,23,25,-2,85
255,2017,1,16,23,46,-4,80
256,2017,1,17,2,25,4,65
257,2017,1,17,2,46,-3,75
258,2017,1,17,5,25,4,55
259,2017,1,17,5,46,1,45
260,2017,1,17,8,25,0,70
261,2017,1,17,8,46,3,50
262,2017,1,17,11,25,-2,80
263,2017,1,17,11,46,0,65
264,2017,1,17,14,25,-3,80
