,year,month,day,hour,forecast,temp,hum
0,2016,3,1,2,25,6.8,64
1,2016,3,1,2,46,6,90
2,2016,3,1,5,25,8,56
3,2016,3,1,5,46,9,73
4,2016,3,1,8,25,6.1,60
5,2016,3,1,8,46,12.1,60
6,2016,3,1,11,25,4.9,73
7,2016,3,1,11,46,11,72
8,2016,3,1,14,25,3,80
9,2016,3,1,14,46,7.3,82
10,2016,3,1,17,25,2.8,86
11,2016,3,1,17,46,5.9,91
12,2016,3,1,20,25,3.7,90
13,2016,3,1,20,46,7.6,84
14,2016,3,1,23,25,5.8,79
15,2016,3,1,23,46,8.7,84
16,2016,3,2,2,25,9.7,59
17,2016,3,2,2,46,11.1,78
18,2016,3,2,5,25,12.1,56
19,2016,3,2,5,46,15,57
20,2016,3,2,8,25,11,65
21,2016,3,2,8,46,16,61
22,2016,3,2,11,25,8.9,73
23,2016,3,2,11,46,14.9,75
24,2016,3,2,14,25,7.9,80
25,2016,3,2,14,46,13.9,85
26,2016,3,2,17,25,7.9,86
27,2016,3,2,17,46,12.1,89
28,2016,3,2,20,25,8.6,85
29,2016,3,2,20,46,11.1,81
30,2016,3,2,23,25,10.7,78
31,2016,3,2,23,46,11.1,81
32,2016,3,3,2,25,14.9,59
33,2016,3,3,2,46,14.1,71
34,2016,3,3,5,25,16,60
35,2016,3,3,5,46,17,74
36,2016,3,3,8,25,14.9,75
37,2016,3,3,8,46,14.9,89
38,2016,3,3,11,25,13.1,84
39,2016,3,3,11,46,12.1,86
40,2016,3,3,14,25,12,89
41,2016,3,3,14,46,7.9,75
42,2016,3,3,17,25,11.1,84
43,2016,3,3,17,46,5.6,80
44,2016,3,3,20,25,11,81
45,2016,3,3,20,46,3.9,88
46,2016,3,3,23,25,14.1,73
47,2016,3,3,23,46,3.3,88
48,2016,3,4,2,25,16.799999,80
49,2016,3,4,2,46,4.9,85
50,2016,3,4,5,25,15.4,85
51,2016,3,4,5,46,9.9,63
52,2016,3,4,8,25,12.5,90
53,2016,3,4,8,46,10.9,49
54,2016,3,4,11,25,9.3,95
55,2016,3,4,11,46,9.1,48
56,2016,3,4,14,25,6.1,92
57,2016,3,4,14,46,6.9,68
58,2016,3,4,17,25,5.1,88
59,2016,3,4,17,46,4.9,75
60,2016,3,4,20,25,4.2,89
61,2016,3,4,20,46,3.6,80
62,2016,3,4,23,25,5.3,84
63,2016,3,4,23,46,2.7,82
64,2016,3,5,2,25,9.6,64
65,2016,3,5,2,46,6.7,65
66,2016,3,5,5,25,10.9,48
67,2016,3,5,5,46,13.1,48
68,2016,3,5,8,25,8.6,49
69,2016,3,5,8,46,14.7,55
70,2016,3,5,11,25,6.7,69
71,2016,3,5,11,46,10.6,74
72,2016,3,5,14,25,5,75
73,2016,3,5,14,46,8.6,83
74,2016,3,5,17,25,2.7,81
75,2016,3,5,17,46,6.6,88
76,2016,3,5,20,25,2.7,79
77,2016,3,5,20,46,5.3,86
78,2016,3,5,23,25,6.6,66
79,2016,3,5,23,46,4.6,79
80,2016,3,6,2,25,13.2,54
81,2016,3,6,2,46,6.3,70
82,2016,3,6,5,25,14.4,62
83,2016,3,6,5,46,8.8,48
84,2016,3,6,8,25,11.7,73
85,2016,3,6,8,46,8.7,41
86,2016,3,6,11,25,9.5,83
87,2016,3,6,11,46,6.1,47
88,2016,3,6,14,25,8.1,90
89,2016,3,6,14,46,3.9,51
90,2016,3,6,17,25,6.8,90
91,2016,3,6,17,46,1.9,51
92,2016,3,6,20,25,5,71
93,2016,3,6,20,46,0.1,60
94,2016,3,6,23,25,6.1,61
95,2016,3,6,23,46,-0.1,55
96,2016,3,7,2,25,8,45
97,2016,3,7,2,46,1.7,55
98,2016,3,7,5,25,8.7,39
99,2016,3,7,5,46,3.7,45
100,2016,3,7,8,25,6.1,43
101,2016,3,7,8,46,4.9,40
102,2016,3,7,11,25,4.1,53
103,2016,3,7,11,46,3.9,40
104,2016,3,7,14,25,1.1,60
105,2016,3,7,14,46,1.1,50
106,2016,3,7,17,25,0.1,60
107,2016,3,7,17,46,-1,55
108,2016,3,7,20,25,-1.1,55
109,2016,3,7,20,46,-2.1,55
110,2016,3,7,23,25,1.9,55
111,2016,3,7,23,46,-3.2,50
112,2016,3,8,2,25,3.8,40
113,2016,3,8,2,46,-0.8,45
114,2016,3,8,5,25,5.1,35
115,2016,3,8,5,46,1.1,39
116,2016,3,8,8,25,1.9,40
117,2016,3,8,8,46,2.9,39
118,2016,3,8,11,25,-0.3,49
119,2016,3,8,11,46,1.1,41
120,2016,3,8,14,25,-1.2,53
121,2016,3,8,14,46,-0.7,50
122,2016,3,8,17,25,-2.1,53
123,2016,3,8,17,46,-2.8,55
124,2016,3,8,20,25,-3.8,49
125,2016,3,8,20,46,-3.9,59
126,2016,3,8,23,25,-0.9,41
127,2016,3,8,23,46,-4.1,55
128,2016,3,9,2,25,0.9,35
129,2016,3,9,2,46,-1.1,39
130,2016,3,9,5,25,2.8,35
131,2016,3,9,5,46,0.8,30
132,2016,3,9,8,25,1.1,47
133,2016,3,9,8,46,2.9,33
134,2016,3,9,11,25,-0.8,56
135,2016,3,9,11,46,1.1,43
136,2016,3,9,14,25,-2.8,61
137,2016,3,9,14,46,-0.9,66
138,2016,3,9,17,25,-4,60
139,2016,3,9,17,46,-2.9,69
140,2016,3,9,20,25,-3,59
141,2016,3,9,20,46,-2.2,69
142,2016,3,9,23,25,-1.1,39
143,2016,3,9,23,46,-1.4,69
144,2016,3,10,2,25,0.8,30
145,2016,3,10,2,46,1.6,68
146,2016,3,10,5,25,2,29
147,2016,3,10,5,46,4.9,45
148,2016,3,10,8,25,1,34
149,2016,3,10,8,46,6.2,43
150,2016,3,10,11,25,-1,69
151,2016,3,10,11,46,4.4,48
152,2016,3,10,14,25,-2.2,71
153,2016,3,10,14,46,2.1,69
154,2016,3,10,17,25,-2.3,72
155,2016,3,10,17,46,0,70
156,2016,3,10,20,25,-2.6,70
157,2016,3,10,20,46,0.6,74
158,2016,3,10,23,25,1.7,68
159,2016,3,10,23,46,-0.4,78
160,2016,3,11,2,25,4.9,44
161,2016,3,11,2,46,1.7,71
162,2016,3,11,5,25,6.1,43
163,2016,3,11,5,46,6,51
164,2016,3,11,8,25,4.3,45
165,2016,3,11,8,46,6.1,55
166,2016,3,11,11,25,2.3,67
167,2016,3,11,11,46,5,58
168,2016,3,11,14,25,1,70
169,2016,3,11,14,46,1.8,80
170,2016,3,11,17,25,0.8,76
171,2016,3,11,17,46,0,84
172,2016,3,11,20,25,-0.1,77
173,2016,3,11,20,46,-1,91
174,2016,3,11,23,25,1.8,71
175,2016,3,11,23,46,-2,94
176,2016,3,12,2,25,6,55
177,2016,3,12,2,46,2.4,75
178,2016,3,12,5,25,5.7,59
179,2016,3,12,5,46,6.1,34
180,2016,3,12,8,25,4.6,58
181,2016,3,12,8,46,8.1,29
182,2016,3,12,11,25,1.6,84
183,2016,3,12,11,46,6.3,34
184,2016,3,12,14,25,-0.1,84
185,2016,3,12,14,46,3.1,56
186,2016,3,12,17,25,-1.1,90
187,2016,3,12,17,46,1.8,69
188,2016,3,12,20,25,-0.6,91
189,2016,3,12,20,46,-1.4,75
190,2016,3,12,23,25,2.2,74
191,2016,3,12,23,46,-2.7,76
192,2016,3,13,2,25,6,34
193,2016,3,13,2,46,2.8,64
194,2016,3,13,5,25,8,29
195,2016,3,13,5,46,8.2,34
196,2016,3,13,8,25,6,34
197,2016,3,13,8,46,11.6,24
198,2016,3,13,11,25,2.8,57
199,2016,3,13,11,46,7.4,34
200,2016,3,13,14,25,0.9,69
201,2016,3,13,14,46,4.1,59
202,2016,3,13,17,25,-1.3,75
203,2016,3,13,17,46,2.3,74
204,2016,3,13,20,25,-3.1,77
205,2016,3,13,20,46,0,81
206,2016,3,13,23,25,2.6,66
207,2016,3,13,23,46,-0.1,79
208,2016,3,14,2,25,7.8,34
209,2016,3,14,2,46,4.4,59
210,2016,3,14,5,25,11,23
211,2016,3,14,5,46,11.6,27
212,2016,3,14,8,25,8.3,27
213,2016,3,14,8,46,12.8,17
214,2016,3,14,11,25,5.2,57
215,2016,3,14,11,46,10.1,19
216,2016,3,14,14,25,2.8,76
217,2016,3,14,14,46,4.9,65
218,2016,3,14,17,25,1.6,80
219,2016,3,14,17,46,2,75
220,2016,3,14,20,25,-0.2,84
221,2016,3,14,20,46,2.6,80
222,2016,3,14,23,25,4.8,62
223,2016,3,14,23,46,1.5,80
224,2016,3,15,2,25,10,28
225,2016,3,15,2,46,8.4,68
226,2016,3,15,5,25,12.9,28
227,2016,3,15,5,46,14.1,43
228,2016,3,15,8,25,10,40
229,2016,3,15,8,46,15.2,51
230,2016,3,15,11,25,6.2,65
231,2016,3,15,11,46,14.3,68
232,2016,3,15,14,25,3.1,76
233,2016,3,15,14,46,9.2,89
234,2016,3,15,17,25,0.9,80
235,2016,3,15,17,46,9,90
236,2016,3,15,20,25,0.6,80
237,2016,3,15,20,46,8.8,90
238,2016,3,15,23,25,5.8,70
239,2016,3,15,23,46,8.5,90
240,2016,3,16,2,25,13.1,43
241,2016,3,16,2,46,8.9,90
242,2016,3,16,5,25,15.1,43
243,2016,3,16,5,46,10.9,85
244,2016,3,16,8,25,13.2,56
245,2016,3,16,8,46,12.9,75
246,2016,3,16,11,25,11.1,75
247,2016,3,16,11,46,11.9,70
248,2016,3,16,14,25,9.9,85
249,2016,3,16,14,46,10.1,80
250,2016,3,16,17,25,8.9,90
251,2016,3,16,17,46,8.3,85
252,2016,3,16,20,25,7.9,91
253,2016,3,16,20,46,7.2,93
254,2016,3,16,23,25,8.9,89
255,2016,3,16,23,46,7.1,91
256,2016,3,17,2,25,10.9,79
257,2016,3,17,2,46,9,76
258,2016,3,17,5,25,13,77
259,2016,3,17,5,46,10.2,50
260,2016,3,17,8,25,13.1,75
261,2016,3,17,8,46,13.4,39
262,2016,3,17,11,25,10,87
263,2016,3,17,11,46,11.4,40
264,2016,3,17,14,25,7.9,82
265,2016,3,17,14,46,7.3,65
266,2016,3,17,17,25,7.2,93
267,2016,3,17,17,46,5.9,79
268,2016,3,17,20,25,6.4,94
269,2016,3,17,20,46,3.9,89
270,2016,3,17,23,25,6.4,79
271,2016,3,17,23,46,1.9,94
272,2016,3,18,2,25,11.5,44
273,2016,3,18,2,46,7.6,69
274,2016,3,18,5,25,13.6,39
275,2016,3,18,5,46,12.3,43
276,2016,3,18,8,25,11.5,42
277,2016,3,18,8,46,14.6,31
278,2016,3,18,11,25,7.3,68
279,2016,3,18,11,46,11.5,35
280,2016,3,18,14,25,5.1,83
281,2016,3,18,14,46,7.3,67
282,2016,3,18,17,25,4,88
283,2016,3,18,17,46,3.7,83
284,2016,3,18,20,25,1.8,93
