index,temp_25,temp_46,humid_25,humid_46
2016-03-14 23:00:00,2.8,4.9,76.0,65.0
2016-03-15 02:00:00,1.6,2.0,80.0,75.0
2016-03-15 05:00:00,-0.2,2.6,84.0,80.0
2016-03-15 08:00:00,4.8,1.5,62.0,80.0
2016-03-15 11:00:00,10.0,8.4,28.0,68.0
2016-03-15 14:00:00,12.9,14.1,28.0,43.0
2016-03-15 17:00:00,10.0,15.2,40.0,51.0
2016-03-15 20:00:00,6.2,14.3,65.0,68.0
2016-03-15 23:00:00,3.1,9.2,76.0,89.0
2016-03-16 02:00:00,0.9,9.0,80.0,90.0
2016-03-16 05:00:00,0.6,8.8,80.0,90.0
2016-03-16 08:00:00,5.8,8.5,70.0,90.0
2016-03-16 11:00:00,13.1,8.9,43.0,90.0
2016-03-16 14:00:00,15.1,10.9,43.0,85.0
2016-03-16 17:00:00,13.2,12.9,56.0,75.0
2016-03-16 20:00:00,11.1,11.9,75.0,70.0
2016-03-16 23:00:00,9.9,10.1,85.0,80.0
2016-03-17 02:00:00,8.9,8.3,90.0,85.0
2016-03-17 05:00:00,7.9,7.2,91.0,93.0
2016-03-17 08:00:00,8.9,7.1,89.0,91.0
2016-03-17 11:00:00,10.9,9.0,79.0,76.0
2016-03-17 14:00:00,13.0,10.2,77.0,50.0
2016-03-17 17:00:00,13.1,13.4,75.0,39.0
2016-03-17 20:00:00,10.0,11.4,87.0,40.0
2016-03-17 23:00:00,7.9,7.3,82.0,65.0
2016-03-18 02:00:00,7.2,5.9,93.0,79.0
2016-03-18 05:00:00,6.4,3.9,94.0,89.0
2016-03-18 08:00:00,6.4,1.9,79.0,94.0
2016-03-18 11:00:00,11.5,7.6,44.0,69.0
2016-03-18 14:00:00,13.6,12.3,39.0,43.0
2016-03-18 17:00:00,11.5,14.6,42.0,31.0
2016-03-18 20:00:00,7.3,11.5,68.0,35.0
2016-03-18 23:00:00,5.1,7.3,83.0,67.0
2016-03-19 02:00:00,4.0,3.7,88.0,83.0
2016-03-19 05:00:00,1.8,3.1,93.0,86.0
2016-03-19 08:00:00,7.7,1.8,69.0,89.0
2016-03-19 11:00:00,12.1,7.4,43.0,66.0
2016-03-19 14:00:00,14.6,13.2,31.0,34.0
2016-03-19 17:00:00,11.6,14.4,38.0,23.0
2016-03-19 20:00:00,7.3,12.4,68.0,25.0
2016-03-19 23:00:00,3.9,8.3,84.0,56.0
2016-03-20 02:00:00,2.6,5.1,86.0,76.0
2016-03-20 05:00:00,2.1,3.2,89.0,91.0
2016-03-20 08:00:00,6.7,2.0,66.0,93.0
2016-03-20 11:00:00,13.1,6.8,34.0,74.0
2016-03-20 14:00:00,14.3,12.3,26.0,38.0
2016-03-20 17:00:00,12.8,14.7,34.0,38.0
2016-03-20 20:00:00,8.3,10.8,64.0,57.0
2016-03-20 23:00:00,4.9,7.4,82.0,71.0
2016-03-21 02:00:00,2.9,5.9,88.0,89.0
2016-03-21 05:00:00,1.6,3.7,89.0,80.0
2016-03-21 08:00:00,6.4,3.8,74.0,72.0
2016-03-21 11:00:00,12.3,7.0,39.0,51.0
2016-03-21 14:00:00,13.8,10.0,39.0,32.0
2016-03-21 17:00:00,10.8,11.1,58.0,25.0
2016-03-21 20:00:00,7.2,8.1,75.0,33.0
2016-03-21 23:00:00,5.2,5.4,89.0,58.0
2016-03-22 02:00:00,3.8,3.4,90.0,68.0
2016-03-22 05:00:00,3.8,2.2,85.0,54.0
2016-03-22 08:00:00,6.6,0.2,58.0,60.0
2016-03-22 11:00:00,9.7,4.3,33.0,46.0
2016-03-22 14:00:00,11.1,7.2,27.0,29.0
2016-03-22 17:00:00,8.4,8.5,42.0,28.0
2016-03-22 20:00:00,5.3,6.5,58.0,35.0
2016-03-22 23:00:00,3.2,3.8,79.0,64.0
2016-03-23 02:00:00,1.9,2.9,79.0,72.0
2016-03-23 05:00:00,0.1,0.5,62.0,81.0
2016-03-23 08:00:00,4.1,-1.3,49.0,77.0
2016-03-23 11:00:00,7.2,4.1,34.0,60.0
2016-03-23 14:00:00,8.5,8.4,28.0,34.0
2016-03-23 17:00:00,6.5,9.3,35.0,33.0
2016-03-23 20:00:00,4.1,6.4,62.0,38.0
2016-03-23 23:00:00,2.7,3.1,80.0,55.0
2016-03-24 02:00:00,0.5,0.8,81.0,71.0
2016-03-24 05:00:00,-1.4,-0.4,76.0,85.0
2016-03-24 08:00:00,3.8,-1.6,60.0,85.0
2016-03-24 11:00:00,8.4,3.1,35.0,63.0
2016-03-24 14:00:00,9.4,8.2,33.0,38.0
2016-03-24 17:00:00,6.4,9.3,37.0,32.0
2016-03-24 20:00:00,3.4,8.1,55.0,37.0
2016-03-24 23:00:00,1.1,5.0,74.0,64.0
2016-03-25 02:00:00,-0.2,2.0,84.0,79.0
2016-03-25 05:00:00,-1.3,2.3,90.0,81.0
2016-03-25 08:00:00,4.8,1.4,64.0,84.0
2016-03-25 11:00:00,9.0,6.9,28.0,53.0
2016-03-25 14:00:00,10.1,11.0,27.0,27.0
2016-03-25 17:00:00,9.0,12.4,28.0,26.0
2016-03-25 20:00:00,6.0,10.5,62.0,42.0
2016-03-25 23:00:00,3.7,7.2,75.0,68.0
2016-03-26 02:00:00,2.7,5.1,81.0,80.0
2016-03-26 05:00:00,0.1,2.0,92.0,85.0
2016-03-26 08:00:00,6.1,0.8,65.0,88.0
2016-03-26 11:00:00,11.2,6.3,19.0,58.0
2016-03-26 14:00:00,12.5,13.2,18.0,28.0
2016-03-26 17:00:00,10.1,14.5,21.0,26.0
2016-03-26 20:00:00,5.8,12.1,61.0,33.0
2016-03-26 23:00:00,3.5,8.7,77.0,62.0
2016-03-27 02:00:00,1.5,6.2,83.0,81.0
2016-03-27 05:00:00,0.9,7.2,88.0,61.0
2016-03-27 08:00:00,6.8,7.1,58.0,58.0
2016-03-27 11:00:00,13.5,11.2,27.0,56.0
2016-03-27 14:00:00,14.5,14.2,26.0,48.0
2016-03-27 17:00:00,12.3,14.3,35.0,55.0
2016-03-27 20:00:00,9.3,12.2,61.0,68.0
2016-03-27 23:00:00,8.1,10.1,82.0,79.0
2016-03-28 02:00:00,7.0,8.1,67.0,90.0
2016-03-28 05:00:00,7.1,5.0,61.0,94.0
2016-03-28 08:00:00,11.5,4.2,53.0,97.0
2016-03-28 11:00:00,14.4,6.7,47.0,87.0
2016-03-28 14:00:00,14.3,14.2,54.0,42.0
2016-03-28 17:00:00,12.1,16.700001,76.0,30.0
2016-03-28 20:00:00,10.0,14.7,84.0,38.0
2016-03-28 23:00:00,8.1,10.5,88.0,61.0
2016-03-29 02:00:00,5.3,7.0,91.0,79.0
2016-03-29 05:00:00,4.4,5.8,91.0,77.0
2016-03-29 08:00:00,6.9,5.7,85.0,82.0
2016-03-29 11:00:00,14.5,10.6,48.0,48.0
