datetime,year,month,day,hour,forecast,temp,hum
2019-01-01 12:00:00,2019,1,1,12,25,-1,50
2019-01-01 12:00:00,2019,1,1,12,46,-5,70
2019-01-01 15:00:00,2019,1,1,15,25,1,45
2019-01-01 15:00:00,2019,1,1,15,46,1,50
2019-01-01 18:00:00,2019,1,1,18,25,-3,60
2019-01-01 18:00:00,2019,1,1,18,46,3,45
2019-01-01 21:00:00,2019,1,1,21,25,-3,65
2019-01-01 21:00:00,2019,1,1,21,46,-2,65
2019-01-02 00:00:00,2019,1,2,0,25,-4,70
2019-01-02 00:00:00,2019,1,2,0,46,-3,75
2019-01-02 03:00:00,2019,1,2,3,25,-5,75
2019-01-02 03:00:00,2019,1,2,3,46,-4,80
2019-01-02 06:00:00,2019,1,2,6,25,-6,75
2019-01-02 06:00:00,2019,1,2,6,46,-4,80
2019-01-02 09:00:00,2019,1,2,9,25,-5,75
2019-01-02 09:00:00,2019,1,2,9,46,-4,80
2019-01-02 12:00:00,2019,1,2,12,25,1,55
2019-01-02 12:00:00,2019,1,2,12,46,-3,75
2019-01-02 15:00:00,2019,1,2,15,25,3,45
2019-01-02 15:00:00,2019,1,2,15,46,4,55
2019-01-02 18:00:00,2019,1,2,18,25,-2,65
2019-01-02 18:00:00,2019,1,2,18,46,5,55
2019-01-02 21:00:00,2019,1,2,21,25,-4,75
2019-01-02 21:00:00,2019,1,2,21,46,1,70
2019-01-03 00:00:00,2019,1,3,0,25,-4,80
2019-01-03 00:00:00,2019,1,3,0,46,0,70
2019-01-03 03:00:00,2019,1,3,3,25,-5,75
2019-01-03 03:00:00,2019,1,3,3,46,-1,70
2019-01-03 06:00:00,2019,1,3,6,25,-5,80
2019-01-03 06:00:00,2019,1,3,6,46,-3,70
2019-01-03 09:00:00,2019,1,3,9,25,-3,75
2019-01-03 09:00:00,2019,1,3,9,46,-4,65
2019-01-03 12:00:00,2019,1,3,12,25,3,55
2019-01-03 12:00:00,2019,1,3,12,46,-3,55
2019-01-03 15:00:00,2019,1,3,15,25,5,55
2019-01-03 15:00:00,2019,1,3,15,46,-1,40
2019-01-03 18:00:00,2019,1,3,18,25,1,75
2019-01-03 18:00:00,2019,1,3,18,46,0,40
2019-01-03 21:00:00,2019,1,3,21,25,0,75
2019-01-03 21:00:00,2019,1,3,21,46,-3,45
2019-01-04 00:00:00,2019,1,4,0,25,-1,70
2019-01-04 00:00:00,2019,1,4,0,46,-4,50
2019-01-04 03:00:00,2019,1,4,3,25,-3,70
2019-01-04 03:00:00,2019,1,4,3,46,-5,60
2019-01-04 06:00:00,2019,1,4,6,25,-4,65
2019-01-04 06:00:00,2019,1,4,6,46,-6,60
2019-01-04 09:00:00,2019,1,4,9,25,-4,60
2019-01-04 09:00:00,2019,1,4,9,46,-6,60
2019-01-04 12:00:00,2019,1,4,12,25,-1,40
2019-01-04 12:00:00,2019,1,4,12,46,-4,65
2019-01-04 15:00:00,2019,1,4,15,25,0,40
2019-01-04 15:00:00,2019,1,4,15,46,0,45
2019-01-04 18:00:00,2019,1,4,18,25,-2,45
2019-01-04 18:00:00,2019,1,4,18,46,1,45
2019-01-04 21:00:00,2019,1,4,21,25,-4,50
2019-01-04 21:00:00,2019,1,4,21,46,-2,65
2019-01-05 00:00:00,2019,1,5,0,25,-5,60
2019-01-05 00:00:00,2019,1,5,0,46,-3,65
2019-01-05 03:00:00,2019,1,5,3,25,-5,60
2019-01-05 03:00:00,2019,1,5,3,46,-4,70
2019-01-05 06:00:00,2019,1,5,6,25,-6,65
2019-01-05 06:00:00,2019,1,5,6,46,-5,70
2019-01-05 09:00:00,2019,1,5,9,25,-5,60
2019-01-05 09:00:00,2019,1,5,9,46,-5,70
2019-01-05 12:00:00,2019,1,5,12,25,0,45
2019-01-05 12:00:00,2019,1,5,12,46,-4,70
2019-01-05 15:00:00,2019,1,5,15,25,1,45
2019-01-05 15:00:00,2019,1,5,15,46,1,50
2019-01-05 18:00:00,2019,1,5,18,25,-2,60
2019-01-05 18:00:00,2019,1,5,18,46,2,55
2019-01-05 21:00:00,2019,1,5,21,25,-3,75
2019-01-05 21:00:00,2019,1,5,21,46,0,65
2019-01-06 00:00:00,2019,1,6,0,25,-4,75
2019-01-06 00:00:00,2019,1,6,0,46,-2,75
