datetime,year,month,day,hour,forecast,temp,hum
2016-03-01 12:00:00,2016,3,1,12,25,6.8,64
2016-03-01 12:00:00,2016,3,1,12,46,6.0,90
2016-03-01 15:00:00,2016,3,1,15,25,8.0,56
2016-03-01 15:00:00,2016,3,1,15,46,9.0,73
2016-03-01 18:00:00,2016,3,1,18,25,6.1,60
2016-03-01 18:00:00,2016,3,1,18,46,12.1,60
2016-03-01 21:00:00,2016,3,1,21,25,4.9,73
2016-03-01 21:00:00,2016,3,1,21,46,11.0,72
2016-03-02 00:00:00,2016,3,2,0,25,3.0,80
2016-03-02 00:00:00,2016,3,2,0,46,7.3,82
2016-03-02 03:00:00,2016,3,2,3,25,2.8,86
2016-03-02 03:00:00,2016,3,2,3,46,5.9,91
2016-03-02 06:00:00,2016,3,2,6,25,3.7,90
2016-03-02 06:00:00,2016,3,2,6,46,7.6,84
2016-03-02 09:00:00,2016,3,2,9,25,5.8,79
2016-03-02 09:00:00,2016,3,2,9,46,8.7,84
2016-03-02 12:00:00,2016,3,2,12,25,9.7,59
2016-03-02 12:00:00,2016,3,2,12,46,11.1,78
2016-03-02 15:00:00,2016,3,2,15,25,12.1,56
2016-03-02 15:00:00,2016,3,2,15,46,15.0,57
2016-03-02 18:00:00,2016,3,2,18,25,11.0,65
2016-03-02 18:00:00,2016,3,2,18,46,16.0,61
2016-03-02 21:00:00,2016,3,2,21,25,8.9,73
2016-03-02 21:00:00,2016,3,2,21,46,14.9,75
2016-03-03 00:00:00,2016,3,3,0,25,7.9,80
2016-03-03 00:00:00,2016,3,3,0,46,13.9,85
2016-03-03 03:00:00,2016,3,3,3,25,7.9,86
2016-03-03 03:00:00,2016,3,3,3,46,12.1,89
2016-03-03 06:00:00,2016,3,3,6,25,8.6,85
2016-03-03 06:00:00,2016,3,3,6,46,11.1,81
2016-03-03 09:00:00,2016,3,3,9,25,10.7,78
2016-03-03 09:00:00,2016,3,3,9,46,11.1,81
2016-03-03 12:00:00,2016,3,3,12,25,14.9,59
2016-03-03 12:00:00,2016,3,3,12,46,14.1,71
2016-03-03 15:00:00,2016,3,3,15,25,16.0,60
2016-03-03 15:00:00,2016,3,3,15,46,17.0,74
2016-03-03 18:00:00,2016,3,3,18,25,14.9,75
2016-03-03 18:00:00,2016,3,3,18,46,14.9,89
2016-03-03 21:00:00,2016,3,3,21,25,13.1,84
2016-03-03 21:00:00,2016,3,3,21,46,12.1,86
2016-03-04 00:00:00,2016,3,4,0,25,12.0,89
2016-03-04 00:00:00,2016,3,4,0,46,7.9,75
2016-03-04 03:00:00,2016,3,4,3,25,11.1,84
2016-03-04 03:00:00,2016,3,4,3,46,5.6,80
2016-03-04 06:00:00,2016,3,4,6,25,11.0,81
2016-03-04 06:00:00,2016,3,4,6,46,3.9,88
2016-03-04 09:00:00,2016,3,4,9,25,14.1,73
2016-03-04 09:00:00,2016,3,4,9,46,3.3,88
2016-03-04 12:00:00,2016,3,4,12,25,16.799999,80
2016-03-04 12:00:00,2016,3,4,12,46,4.9,85
2016-03-04 15:00:00,2016,3,4,15,25,15.4,85
2016-03-04 15:00:00,2016,3,4,15,46,9.9,63
2016-03-04 18:00:00,2016,3,4,18,25,12.5,90
2016-03-04 18:00:00,2016,3,4,18,46,10.9,49
2016-03-04 21:00:00,2016,3,4,21,25,9.3,95
2016-03-04 21:00:00,2016,3,4,21,46,9.1,48
2016-03-05 00:00:00,2016,3,5,0,25,6.1,92
2016-03-05 00:00:00,2016,3,5,0,46,6.9,68
2016-03-05 03:00:00,2016,3,5,3,25,5.1,88
2016-03-05 03:00:00,2016,3,5,3,46,4.9,75
2016-03-05 06:00:00,2016,3,5,6,25,4.2,89
2016-03-05 06:00:00,2016,3,5,6,46,3.6,80
2016-03-05 09:00:00,2016,3,5,9,25,5.3,84
2016-03-05 09:00:00,2016,3,5,9,46,2.7,82
2016-03-05 12:00:00,2016,3,5,12,25,9.6,64
2016-03-05 12:00:00,2016,3,5,12,46,6.7,65
2016-03-05 15:00:00,2016,3,5,15,25,10.9,48
2016-03-05 15:00:00,2016,3,5,15,46,13.1,48
2016-03-05 18:00:00,2016,3,5,18,25,8.6,49
2016-03-05 18:00:00,2016,3,5,18,46,14.7,55
2016-03-05 21:00:00,2016,3,5,21,25,6.7,69
2016-03-05 21:00:00,2016,3,5,21,46,10.6,74
2016-03-06 00:00:00,2016,3,6,0,25,5.0,75
2016-03-06 00:00:00,2016,3,6,0,46,8.6,83
2016-03-06 03:00:00,2016,3,6,3,25,2.7,81
2016-03-06 03:00:00,2016,3,6,3,46,6.6,88
2016-03-06 06:00:00,2016,3,6,6,25,2.7,79
2016-03-06 06:00:00,2016,3,6,6,46,5.3,86
2016-03-06 09:00:00,2016,3,6,9,25,6.6,66
2016-03-06 09:00:00,2016,3,6,9,46,4.6,79
2016-03-06 12:00:00,2016,3,6,12,25,13.2,54
2016-03-06 12:00:00,2016,3,6,12,46,6.3,70
2016-03-06 15:00:00,2016,3,6,15,25,14.4,62
2016-03-06 15:00:00,2016,3,6,15,46,8.8,48
2016-03-06 18:00:00,2016,3,6,18,25,11.7,73
2016-03-06 18:00:00,2016,3,6,18,46,8.7,41
2016-03-06 21:00:00,2016,3,6,21,25,9.5,83
2016-03-06 21:00:00,2016,3,6,21,46,6.1,47
2016-03-07 00:00:00,2016,3,7,0,25,8.1,90
2016-03-07 00:00:00,2016,3,7,0,46,3.9,51
2016-03-07 03:00:00,2016,3,7,3,25,6.8,90
2016-03-07 03:00:00,2016,3,7,3,46,1.9,51
2016-03-07 06:00:00,2016,3,7,6,25,5.0,71
2016-03-07 06:00:00,2016,3,7,6,46,0.1,60
2016-03-07 09:00:00,2016,3,7,9,25,6.1,61
2016-03-07 09:00:00,2016,3,7,9,46,-0.1,55
2016-03-07 12:00:00,2016,3,7,12,25,8.0,45
2016-03-07 12:00:00,2016,3,7,12,46,1.7,55
2016-03-07 15:00:00,2016,3,7,15,25,8.7,39
2016-03-07 15:00:00,2016,3,7,15,46,3.7,45
2016-03-07 18:00:00,2016,3,7,18,25,6.1,43
2016-03-07 18:00:00,2016,3,7,18,46,4.9,40
2016-03-07 21:00:00,2016,3,7,21,25,4.1,53
2016-03-07 21:00:00,2016,3,7,21,46,3.9,40
2016-03-08 00:00:00,2016,3,8,0,25,1.1,60
2016-03-08 00:00:00,2016,3,8,0,46,1.1,50
2016-03-08 03:00:00,2016,3,8,3,25,0.1,60
2016-03-08 03:00:00,2016,3,8,3,46,-1.0,55
2016-03-08 06:00:00,2016,3,8,6,25,-1.1,55
2016-03-08 06:00:00,2016,3,8,6,46,-2.1,55
2016-03-08 09:00:00,2016,3,8,9,25,1.9,55
2016-03-08 09:00:00,2016,3,8,9,46,-3.2,50
2016-03-08 12:00:00,2016,3,8,12,25,3.8,40
2016-03-08 12:00:00,2016,3,8,12,46,-0.8,45
2016-03-08 15:00:00,2016,3,8,15,25,5.1,35
2016-03-08 15:00:00,2016,3,8,15,46,1.1,39
2016-03-08 18:00:00,2016,3,8,18,25,1.9,40
2016-03-08 18:00:00,2016,3,8,18,46,2.9,39
2016-03-08 21:00:00,2016,3,8,21,25,-0.3,49
2016-03-08 21:00:00,2016,3,8,21,46,1.1,41
2016-03-09 00:00:00,2016,3,9,0,25,-1.2,53
2016-03-09 00:00:00,2016,3,9,0,46,-0.7,50
2016-03-09 03:00:00,2016,3,9,3,25,-2.1,53
2016-03-09 03:00:00,2016,3,9,3,46,-2.8,55
2016-03-09 06:00:00,2016,3,9,6,25,-3.8,49
2016-03-09 06:00:00,2016,3,9,6,46,-3.9,59
2016-03-09 09:00:00,2016,3,9,9,25,-0.9,41
2016-03-09 09:00:00,2016,3,9,9,46,-4.1,55
2016-03-09 12:00:00,2016,3,9,12,25,0.9,35
2016-03-09 12:00:00,2016,3,9,12,46,-1.1,39
2016-03-09 15:00:00,2016,3,9,15,25,2.8,35
2016-03-09 15:00:00,2016,3,9,15,46,0.8,30
2016-03-09 18:00:00,2016,3,9,18,25,1.1,47
2016-03-09 18:00:00,2016,3,9,18,46,2.9,33
2016-03-09 21:00:00,2016,3,9,21,25,-0.8,56
2016-03-09 21:00:00,2016,3,9,21,46,1.1,43
2016-03-10 00:00:00,2016,3,10,0,25,-2.8,61
2016-03-10 00:00:00,2016,3,10,0,46,-0.9,66
2016-03-10 03:00:00,2016,3,10,3,25,-4.0,60
2016-03-10 03:00:00,2016,3,10,3,46,-2.9,69
2016-03-10 06:00:00,2016,3,10,6,25,-3.0,59
2016-03-10 06:00:00,2016,3,10,6,46,-2.2,69
2016-03-10 09:00:00,2016,3,10,9,25,-1.1,39
2016-03-10 09:00:00,2016,3,10,9,46,-1.4,69
2016-03-10 12:00:00,2016,3,10,12,25,0.8,30
2016-03-10 12:00:00,2016,3,10,12,46,1.6,68
2016-03-10 15:00:00,2016,3,10,15,25,2.0,29
2016-03-10 15:00:00,2016,3,10,15,46,4.9,45
2016-03-10 18:00:00,2016,3,10,18,25,1.0,34
2016-03-10 18:00:00,2016,3,10,18,46,6.2,43
2016-03-10 21:00:00,2016,3,10,21,25,-1.0,69
2016-03-10 21:00:00,2016,3,10,21,46,4.4,48
2016-03-11 00:00:00,2016,3,11,0,25,-2.2,71
2016-03-11 00:00:00,2016,3,11,0,46,2.1,69
2016-03-11 03:00:00,2016,3,11,3,25,-2.3,72
2016-03-11 03:00:00,2016,3,11,3,46,0.0,70
2016-03-11 06:00:00,2016,3,11,6,25,-2.6,70
2016-03-11 06:00:00,2016,3,11,6,46,0.6,74
2016-03-11 09:00:00,2016,3,11,9,25,1.7,68
2016-03-11 09:00:00,2016,3,11,9,46,-0.4,78
2016-03-11 12:00:00,2016,3,11,12,25,4.9,44
2016-03-11 12:00:00,2016,3,11,12,46,1.7,71
2016-03-11 15:00:00,2016,3,11,15,25,6.1,43
2016-03-11 15:00:00,2016,3,11,15,46,6.0,51
2016-03-11 18:00:00,2016,3,11,18,25,4.3,45
2016-03-11 18:00:00,2016,3,11,18,46,6.1,55
2016-03-11 21:00:00,2016,3,11,21,25,2.3,67
2016-03-11 21:00:00,2016,3,11,21,46,5.0,58
2016-03-12 00:00:00,2016,3,12,0,25,1.0,70
2016-03-12 00:00:00,2016,3,12,0,46,1.8,80
2016-03-12 03:00:00,2016,3,12,3,25,0.8,76
2016-03-12 03:00:00,2016,3,12,3,46,0.0,84
2016-03-12 06:00:00,2016,3,12,6,25,-0.1,77
2016-03-12 06:00:00,2016,3,12,6,46,-1.0,91
2016-03-12 09:00:00,2016,3,12,9,25,1.8,71
2016-03-12 09:00:00,2016,3,12,9,46,-2.0,94
2016-03-12 12:00:00,2016,3,12,12,25,6.0,55
2016-03-12 12:00:00,2016,3,12,12,46,2.4,75
2016-03-12 15:00:00,2016,3,12,15,25,5.7,59
2016-03-12 15:00:00,2016,3,12,15,46,6.1,34
2016-03-12 18:00:00,2016,3,12,18,25,4.6,58
2016-03-12 18:00:00,2016,3,12,18,46,8.1,29
2016-03-12 21:00:00,2016,3,12,21,25,1.6,84
2016-03-12 21:00:00,2016,3,12,21,46,6.3,34
2016-03-13 00:00:00,2016,3,13,0,25,-0.1,84
2016-03-13 00:00:00,2016,3,13,0,46,3.1,56
2016-03-13 03:00:00,2016,3,13,3,25,-1.1,90
2016-03-13 03:00:00,2016,3,13,3,46,1.8,69
2016-03-13 06:00:00,2016,3,13,6,25,-0.6,91
2016-03-13 06:00:00,2016,3,13,6,46,-1.4,75
2016-03-13 09:00:00,2016,3,13,9,25,2.2,74
2016-03-13 09:00:00,2016,3,13,9,46,-2.7,76
2016-03-13 12:00:00,2016,3,13,12,25,6.0,34
2016-03-13 12:00:00,2016,3,13,12,46,2.8,64
2016-03-13 15:00:00,2016,3,13,15,25,8.0,29
2016-03-13 15:00:00,2016,3,13,15,46,8.2,34
2016-03-13 18:00:00,2016,3,13,18,25,6.0,34
2016-03-13 18:00:00,2016,3,13,18,46,11.6,24
2016-03-13 21:00:00,2016,3,13,21,25,2.8,57
2016-03-13 21:00:00,2016,3,13,21,46,7.4,34
2016-03-14 00:00:00,2016,3,14,0,25,0.9,69
2016-03-14 00:00:00,2016,3,14,0,46,4.1,59
2016-03-14 03:00:00,2016,3,14,3,25,-1.3,75
2016-03-14 03:00:00,2016,3,14,3,46,2.3,74
2016-03-14 06:00:00,2016,3,14,6,25,-3.1,77
2016-03-14 06:00:00,2016,3,14,6,46,0.0,81
2016-03-14 09:00:00,2016,3,14,9,25,2.6,66
2016-03-14 09:00:00,2016,3,14,9,46,-0.1,79
2016-03-14 12:00:00,2016,3,14,12,25,7.8,34
2016-03-14 12:00:00,2016,3,14,12,46,4.4,59
2016-03-14 15:00:00,2016,3,14,15,25,11.0,23
2016-03-14 15:00:00,2016,3,14,15,46,11.6,27
2016-03-14 18:00:00,2016,3,14,18,25,8.3,27
2016-03-14 18:00:00,2016,3,14,18,46,12.8,17
2016-03-14 21:00:00,2016,3,14,21,25,5.2,57
2016-03-14 21:00:00,2016,3,14,21,46,10.1,19
2016-03-15 00:00:00,2016,3,15,0,25,2.8,76
2016-03-15 00:00:00,2016,3,15,0,46,4.9,65
2016-03-15 03:00:00,2016,3,15,3,25,1.6,80
2016-03-15 03:00:00,2016,3,15,3,46,2.0,75
2016-03-15 06:00:00,2016,3,15,6,25,-0.2,84
2016-03-15 06:00:00,2016,3,15,6,46,2.6,80
2016-03-15 09:00:00,2016,3,15,9,25,4.8,62
2016-03-15 09:00:00,2016,3,15,9,46,1.5,80
2016-03-15 12:00:00,2016,3,15,12,25,10.0,28
2016-03-15 12:00:00,2016,3,15,12,46,8.4,68
2016-03-15 15:00:00,2016,3,15,15,25,12.9,28
2016-03-15 15:00:00,2016,3,15,15,46,14.1,43
2016-03-15 18:00:00,2016,3,15,18,25,10.0,40
2016-03-15 18:00:00,2016,3,15,18,46,15.2,51
2016-03-15 21:00:00,2016,3,15,21,25,6.2,65
2016-03-15 21:00:00,2016,3,15,21,46,14.3,68
2016-03-16 00:00:00,2016,3,16,0,25,3.1,76
2016-03-16 00:00:00,2016,3,16,0,46,9.2,89
2016-03-16 03:00:00,2016,3,16,3,25,0.9,80
2016-03-16 03:00:00,2016,3,16,3,46,9.0,90
2016-03-16 06:00:00,2016,3,16,6,25,0.6,80
2016-03-16 06:00:00,2016,3,16,6,46,8.8,90
2016-03-16 09:00:00,2016,3,16,9,25,5.8,70
2016-03-16 09:00:00,2016,3,16,9,46,8.5,90
2016-03-16 12:00:00,2016,3,16,12,25,13.1,43
2016-03-16 12:00:00,2016,3,16,12,46,8.9,90
2016-03-16 15:00:00,2016,3,16,15,25,15.1,43
2016-03-16 15:00:00,2016,3,16,15,46,10.9,85
2016-03-16 18:00:00,2016,3,16,18,25,13.2,56
2016-03-16 18:00:00,2016,3,16,18,46,12.9,75
2016-03-16 21:00:00,2016,3,16,21,25,11.1,75
2016-03-16 21:00:00,2016,3,16,21,46,11.9,70
2016-03-17 00:00:00,2016,3,17,0,25,9.9,85
2016-03-17 00:00:00,2016,3,17,0,46,10.1,80
2016-03-17 03:00:00,2016,3,17,3,25,8.9,90
