datetime,year,month,day,hour,forecast,temp,hum
2017-01-01 12:00:00,2017,1,1,12,25,7.9,65
2017-01-01 12:00:00,2017,1,1,12,46,-1.5,86
2017-01-01 15:00:00,2017,1,1,15,25,8.2,64
2017-01-01 15:00:00,2017,1,1,15,46,5.7,56
2017-01-01 18:00:00,2017,1,1,18,25,5.2,68
2017-01-01 18:00:00,2017,1,1,18,46,6.2,48
2017-01-01 21:00:00,2017,1,1,21,25,2.0,75
2017-01-01 21:00:00,2017,1,1,21,46,3.3,64
2017-01-02 00:00:00,2017,1,2,0,25,-0.2,80
2017-01-02 00:00:00,2017,1,2,0,46,1.8,75
2017-01-02 03:00:00,2017,1,2,3,25,-1.2,87
2017-01-02 03:00:00,2017,1,2,3,46,0.6,90
2017-01-02 06:00:00,2017,1,2,6,25,-2.5,87
2017-01-02 06:00:00,2017,1,2,6,46,0.9,94
2017-01-02 09:00:00,2017,1,2,9,25,-1.4,85
2017-01-02 09:00:00,2017,1,2,9,46,1.1,90
2017-01-02 12:00:00,2017,1,2,12,25,4.7,55
2017-01-02 12:00:00,2017,1,2,12,46,3.1,81
2017-01-02 15:00:00,2017,1,2,15,25,6.3,50
2017-01-02 15:00:00,2017,1,2,15,46,6.0,60
2017-01-02 18:00:00,2017,1,2,18,25,3.2,65
2017-01-02 18:00:00,2017,1,2,18,46,6.3,45
2017-01-02 21:00:00,2017,1,2,21,25,2.0,76
2017-01-02 21:00:00,2017,1,2,21,46,4.0,55
2017-01-03 00:00:00,2017,1,3,0,25,1.0,86
2017-01-03 00:00:00,2017,1,3,0,46,1.0,72
2017-01-03 03:00:00,2017,1,3,3,25,0.7,91
2017-01-03 03:00:00,2017,1,3,3,46,0.0,77
2017-01-03 06:00:00,2017,1,3,6,25,1.0,87
2017-01-03 06:00:00,2017,1,3,6,46,-0.1,77
2017-01-03 09:00:00,2017,1,3,9,25,3.0,83
2017-01-03 09:00:00,2017,1,3,9,46,-1.3,91
2017-01-03 12:00:00,2017,1,3,12,25,6.2,60
2017-01-03 12:00:00,2017,1,3,12,46,-0.2,85
2017-01-03 15:00:00,2017,1,3,15,25,7.3,45
2017-01-03 15:00:00,2017,1,3,15,46,4.5,55
2017-01-03 18:00:00,2017,1,3,18,25,4.8,55
2017-01-03 18:00:00,2017,1,3,18,46,8.1,54
2017-01-03 21:00:00,2017,1,3,21,25,2.6,72
2017-01-03 21:00:00,2017,1,3,21,46,5.0,65
2017-01-04 00:00:00,2017,1,4,0,25,1.6,76
2017-01-04 00:00:00,2017,1,4,0,46,3.0,74
2017-01-04 03:00:00,2017,1,4,3,25,-0.1,77
2017-01-04 03:00:00,2017,1,4,3,46,1.9,81
2017-01-04 06:00:00,2017,1,4,6,25,-1.2,91
2017-01-04 06:00:00,2017,1,4,6,46,0.7,76
2017-01-04 09:00:00,2017,1,4,9,25,-0.2,86
2017-01-04 09:00:00,2017,1,4,9,46,-0.3,81
2017-01-04 12:00:00,2017,1,4,12,25,5.0,55
2017-01-04 12:00:00,2017,1,4,12,46,1.5,76
2017-01-04 15:00:00,2017,1,4,15,25,8.2,51
2017-01-04 15:00:00,2017,1,4,15,46,6.7,60
2017-01-04 18:00:00,2017,1,4,18,25,6.0,54
2017-01-04 18:00:00,2017,1,4,18,46,7.9,50
2017-01-04 21:00:00,2017,1,4,21,25,4.0,65
2017-01-04 21:00:00,2017,1,4,21,46,5.9,70
2017-01-05 00:00:00,2017,1,5,0,25,2.9,75
2017-01-05 00:00:00,2017,1,5,0,46,2.1,85
2017-01-05 03:00:00,2017,1,5,3,25,2.5,76
2017-01-05 03:00:00,2017,1,5,3,46,0.1,90
2017-01-05 06:00:00,2017,1,5,6,25,0.5,81
2017-01-05 06:00:00,2017,1,5,6,46,-0.2,95
2017-01-05 09:00:00,2017,1,5,9,25,2.5,75
2017-01-05 09:00:00,2017,1,5,9,46,-0.8,94
2017-01-05 12:00:00,2017,1,5,12,25,6.0,55
2017-01-05 12:00:00,2017,1,5,12,46,2.4,90
2017-01-05 15:00:00,2017,1,5,15,25,8.0,50
2017-01-05 15:00:00,2017,1,5,15,46,5.8,64
2017-01-05 18:00:00,2017,1,5,18,25,6.0,70
2017-01-05 18:00:00,2017,1,5,18,46,9.0,50
2017-01-05 21:00:00,2017,1,5,21,25,3.0,80
2017-01-05 21:00:00,2017,1,5,21,46,5.0,70
2017-01-06 00:00:00,2017,1,6,0,25,1.0,85
2017-01-06 00:00:00,2017,1,6,0,46,3.0,80
2017-01-06 03:00:00,2017,1,6,3,25,1.0,90
2017-01-06 03:00:00,2017,1,6,3,46,2.0,80
2017-01-06 06:00:00,2017,1,6,6,25,0.0,90
2017-01-06 06:00:00,2017,1,6,6,46,2.0,80
2017-01-06 09:00:00,2017,1,6,9,25,1.0,85
2017-01-06 09:00:00,2017,1,6,9,46,2.0,85
2017-01-06 12:00:00,2017,1,6,12,25,8.0,60
2017-01-06 12:00:00,2017,1,6,12,46,2.0,85
2017-01-06 15:00:00,2017,1,6,15,25,9.0,50
2017-01-06 15:00:00,2017,1,6,15,46,7.0,70
2017-01-06 18:00:00,2017,1,6,18,25,5.0,70
2017-01-06 18:00:00,2017,1,6,18,46,10.0,60
2017-01-06 21:00:00,2017,1,6,21,25,4.0,75
2017-01-06 21:00:00,2017,1,6,21,46,7.0,75
2017-01-07 00:00:00,2017,1,7,0,25,3.0,80
2017-01-07 00:00:00,2017,1,7,0,46,5.0,80
2017-01-07 03:00:00,2017,1,7,3,25,3.0,80
2017-01-07 03:00:00,2017,1,7,3,46,3.0,80
2017-01-07 06:00:00,2017,1,7,6,25,3.0,80
2017-01-07 06:00:00,2017,1,7,6,46,3.0,76
2017-01-07 09:00:00,2017,1,7,9,25,3.0,80
2017-01-07 09:00:00,2017,1,7,9,46,2.0,75
2017-01-07 12:00:00,2017,1,7,12,25,8.0,70
2017-01-07 12:00:00,2017,1,7,12,46,2.0,75
