,year,day,hour,forecast,temp,hum
0,2017,1,2,25,7.9,65.0
1,2017,1,2,46,-1.5,86.0
2,2017,1,5,25,8.2,64.0
3,2017,1,5,46,5.7,56.0
4,2017,1,8,25,5.2,68.0
5,2017,1,8,46,6.2,48.0
6,2017,1,11,25,2.0,75.0
7,2017,1,11,46,3.3,64.0
8,2017,1,14,25,-0.2,80.0
9,2017,1,14,46,1.8,75.0
10,2017,1,17,25,-1.2,87.0
11,2017,1,17,46,0.6,90.0
12,2017,1,20,25,-2.5,87.0
13,2017,1,20,46,0.9,94.0
14,2017,1,23,25,-1.4,85.0
15,2017,1,23,46,1.1,90.0
16,2017,2,2,25,4.7,55.0
17,2017,2,2,46,3.1,81.0
18,2017,2,5,25,6.3,50.0
19,2017,2,5,46,6.0,60.0
20,2017,2,8,25,3.2,65.0
21,2017,2,8,46,6.3,45.0
22,2017,2,11,25,2.0,76.0
23,2017,2,11,46,4.0,55.0
24,2017,2,14,25,1.0,86.0
25,2017,2,14,46,1.0,72.0
26,2017,2,17,25,0.7,91.0
27,2017,2,17,46,0.0,77.0
28,2017,2,20,25,1.0,87.0
29,2017,2,20,46,-0.1,77.0
30,2017,2,23,25,3.0,83.0
31,2017,2,23,46,-1.3,91.0
32,2017,3,2,25,6.2,60.0
33,2017,3,2,46,-0.2,85.0
34,2017,3,5,25,7.3,45.0
35,2017,3,5,46,4.5,55.0
36,2017,3,8,25,4.8,55.0
37,2017,3,8,46,8.1,54.0
38,2017,3,11,25,2.6,72.0
39,2017,3,11,46,5.0,65.0
40,2017,3,14,25,1.6,76.0
41,2017,3,14,46,3.0,74.0
42,2017,3,17,25,-0.1,77.0
43,2017,3,17,46,1.9,81.0
44,2017,3,20,25,-1.2,91.0
45,2017,3,20,46,0.7,76.0
46,2017,3,23,25,-0.2,86.0
47,2017,3,23,46,-0.3,81.0
48,2017,4,2,25,5.0,55.0
49,2017,4,2,46,1.5,76.0
50,2017,4,5,25,8.2,51.0
51,2017,4,5,46,6.7,60.0
52,2017,4,8,25,6.0,54.0
