,year,day,hour,forecast,temp,hum
0,2020,1,2,25,4.0,75.0
1,2020,1,2,46,-1.0,90.0
2,2020,1,5,25,6.0,65.0
3,2020,1,5,46,4.0,65.0
4,2020,1,8,25,3.0,70.0
5,2020,1,8,46,5.0,60.0
6,2020,1,11,25,2.0,70.0
7,2020,1,11,46,2.0,75.0
8,2020,1,14,25,1.0,80.0
9,2020,1,14,46,0.0,80.0
10,2020,1,17,25,-1.0,85.0
11,2020,1,17,46,0.0,85.0
12,2020,1,20,25,-2.0,90.0
13,2020,1,20,46,0.0,90.0
14,2020,1,23,25,-1.0,85.0
15,2020,1,23,46,0.0,85.0
16,2020,2,2,25,4.0,65.0
17,2020,2,2,46,1.0,80.0
18,2020,2,5,25,6.0,60.0
19,2020,2,5,46,6.0,65.0
20,2020,2,8,25,2.0,75.0
21,2020,2,8,46,7.0,60.0
22,2020,2,11,25,0.0,80.0
23,2020,2,11,46,3.0,70.0
24,2020,2,14,25,-1.0,85.0
25,2020,2,14,46,2.0,70.0
26,2020,2,17,25,-2.0,85.0
27,2020,2,17,46,-1.0,70.0
28,2020,2,20,25,-3.0,85.0
29,2020,2,20,46,-2.0,80.0
30,2020,2,23,25,-2.0,85.0
31,2020,2,23,46,-4.0,85.0
32,2020,3,2,25,6.0,60.0
33,2020,3,2,46,-2.0,85.0
34,2020,3,5,25,7.0,60.0
35,2020,3,5,46,4.0,55.0
36,2020,3,8,25,3.0,70.0
37,2020,3,8,46,4.0,45.0
38,2020,3,11,25,1.0,65.0
39,2020,3,11,46,2.0,65.0
40,2020,3,14,25,-1.0,70.0
41,2020,3,14,46,1.0,70.0
42,2020,3,17,25,-2.0,80.0
43,2020,3,17,46,-1.0,80.0
44,2020,3,20,25,-4.0,80.0
45,2020,3,20,46,0.0,75.0
46,2020,3,23,25,-2.0,80.0
47,2020,3,23,46,0.0,75.0
48,2020,4,2,25,4.0,55.0
49,2020,4,2,46,1.0,65.0
50,2020,4,5,25,5.0,50.0
51,2020,4,5,46,2.0,75.0
52,2020,4,8,25,2.0,60.0
53,2020,4,8,46,3.0,70.0
54,2020,4,11,25,0.0,70.0
55,2020,4,11,46,3.0,85.0
56,2020,4,14,25,-1.0,75.0
57,2020,4,14,46,4.0,85.0
58,2020,4,17,25,0.0,70.0
59,2020,4,17,46,4.0,90.0
60,2020,4,20,25,0.0,70.0
61,2020,4,20,46,6.0,85.0
62,2020,4,23,25,1.0,65.0
63,2020,4,23,46,6.0,90.0
64,2020,5,2,25,3.0,70.0
65,2020,5,2,46,5.0,90.0
66,2020,5,5,25,3.0,75.0
67,2020,5,5,46,6.0,90.0
68,2020,5,8,25,4.0,70.0
69,2020,5,8,46,7.0,95.0
70,2020,5,11,25,5.0,80.0
71,2020,5,11,46,7.0,90.0
72,2020,5,14,25,5.0,85.0
73,2020,5,14,46,11.0,80.0
74,2020,5,17,25,6.0,85.0
75,2020,5,17,46,12.0,85.0
76,2020,5,20,25,6.0,90.0
77,2020,5,20,46,7.0,80.0
78,2020,5,23,25,6.0,95.0
79,2020,5,23,46,6.0,80.0
80,2020,6,2,25,6.0,95.0
81,2020,6,2,46,4.0,85.0
82,2020,6,5,25,7.0,90.0
83,2020,6,5,46,3.0,80.0
84,2020,6,8,25,7.0,85.0
85,2020,6,8,46,3.0,75.0
86,2020,6,11,25,9.0,85.0
87,2020,6,11,46,1.0,75.0
88,2020,6,14,25,8.0,90.0
89,2020,6,14,46,0.0,70.0
90,2020,6,17,25,6.0,85.0
91,2020,6,17,46,-1.0,75.0
92,2020,6,20,25,5.0,85.0
93,2020,6,20,46,-1.0,70.0
94,2020,6,23,25,4.0,85.0
95,2020,6,23,46,-2.0,75.0
96,2020,7,2,25,3.0,80.0
97,2020,7,2,46,-2.0,75.0
98,2020,7,5,25,2.0,75.0
99,2020,7,5,46,1.0,60.0
100,2020,7,8,25,1.0,75.0
101,2020,7,8,46,3.0,55.0
102,2020,7,11,25,0.0,70.0
103,2020,7,11,46,0.0,65.0
104,2020,7,14,25,-1.0,75.0
105,2020,7,14,46,-1.0,70.0
106,2020,7,17,25,-1.0,70.0
107,2020,7,17,46,-3.0,80.0
108,2020,7,20,25,-2.0,75.0
109,2020,7,20,46,-4.0,85.0
110,2020,7,23,25,-1.0,75.0
111,2020,7,23,46,-3.0,85.0
112,2020,8,2,25,2.0,60.0
113,2020,8,2,46,-3.0,85.0
114,2020,8,5,25,2.0,55.0
115,2020,8,5,46,2.0,60.0
116,2020,8,8,25,0.0,65.0
117,2020,8,8,46,3.0,55.0
118,2020,8,11,25,-2.0,70.0
119,2020,8,11,46,0.0,70.0
120,2020,8,14,25,-3.0,80.0
121,2020,8,14,46,-1.0,75.0
122,2020,8,17,25,-4.0,90.0
123,2020,8,17,46,-1.0,80.0
124,2020,8,20,25,-3.0,85.0
125,2020,8,20,46,-1.0,85.0
126,2020,8,23,25,-2.0,85.0
127,2020,8,23,46,-2.0,85.0
128,2020,9,2,25,2.0,65.0
129,2020,9,2,46,0.0,80.0
130,2020,9,5,25,4.0,55.0
131,2020,9,5,46,5.0,65.0
132,2020,9,8,25,1.0,75.0
133,2020,9,8,46,4.0,55.0
134,2020,9,11,25,-1.0,80.0
135,2020,9,11,46,0.0,65.0
136,2020,9,14,25,0.0,80.0
137,2020,9,14,46,-1.0,65.0
138,2020,9,17,25,-1.0,85.0
139,2020,9,17,46,-2.0,70.0
140,2020,9,20,25,-2.0,90.0
141,2020,9,20,46,-2.0,75.0
142,2020,9,23,25,0.0,85.0
143,2020,9,23,46,-3.0,75.0
144,2020,10,2,25,4.0,70.0
145,2020,10,2,46,-1.0,75.0
146,2020,10,5,25,4.0,60.0
147,2020,10,5,46,1.0,60.0
148,2020,10,8,25,1.0,65.0
149,2020,10,8,46,2.0,55.0
150,2020,10,11,25,-1.0,70.0
151,2020,10,11,46,0.0,65.0
152,2020,10,14,25,-2.0,75.0
153,2020,10,14,46,-1.0,70.0
154,2020,10,17,25,-2.0,75.0
155,2020,10,17,46,-2.0,70.0
156,2020,10,20,25,-3.0,75.0
157,2020,10,20,46,-2.0,70.0
158,2020,10,23,25,-1.0,75.0
159,2020,10,23,46,-2.0,75.0
160,2020,11,2,25,2.0,65.0
161,2020,11,2,46,-2.0,70.0
162,2020,11,5,25,3.0,60.0
163,2020,11,5,46,0.0,55.0
164,2020,11,8,25,0.0,65.0
165,2020,11,8,46,1.0,50.0
166,2020,11,11,25,-1.0,70.0
167,2020,11,11,46,-2.0,55.0
168,2020,11,14,25,-2.0,70.0
169,2020,11,14,46,-3.0,60.0
170,2020,11,17,25,-2.0,70.0
171,2020,11,17,46,-4.0,70.0
172,2020,11,20,25,-1.0,70.0
173,2020,11,20,46,-4.0,70.0
174,2020,11,23,25,-2.0,70.0
175,2020,11,23,46,-4.0,70.0
176,2020,12,2,25,0.0,55.0
177,2020,12,2,46,-2.0,70.0
178,2020,12,5,25,1.0,50.0
179,2020,12,5,46,2.0,55.0
180,2020,12,8,25,-2.0,60.0
181,2020,12,8,46,2.0,55.0
182,2020,12,11,25,-3.0,65.0
183,2020,12,11,46,0.0,60.0
184,2020,12,14,25,-3.0,70.0
185,2020,12,14,46,-3.0,70.0
186,2020,12,17,25,-4.0,80.0
187,2020,12,17,46,-3.0,75.0
188,2020,12,20,25,-4.0,80.0
189,2020,12,20,46,-4.0,85.0
190,2020,12,23,25,-2.0,80.0
191,2020,12,23,46,-5.0,75.0
192,2020,13,2,25,1.0,65.0
193,2020,13,2,46,-3.0,70.0
194,2020,13,5,25,1.0,65.0
195,2020,13,5,46,1.0,45.0
196,2020,13,8,25,-1.0,65.0
197,2020,13,8,46,1.0,50.0
198,2020,13,11,25,-2.0,70.0
199,2020,13,11,46,-2.0,65.0
200,2020,13,14,25,-3.0,80.0
201,2020,13,14,46,-3.0,70.0
202,2020,13,17,25,-3.0,75.0
203,2020,13,17,46,-4.0,75.0
204,2020,13,20,25,-5.0,75.0
205,2020,13,20,46,-4.0,80.0
206,2020,13,23,25,-3.0,65.0
207,2020,13,23,46,-4.0,75.0
208,2020,14,2,25,1.0,50.0
209,2020,14,2,46,-3.0,70.0
210,2020,14,5,25,1.0,50.0
211,2020,14,5,46,1.0,40.0
212,2020,14,8,25,-1.0,65.0
213,2020,14,8,46,2.0,45.0
214,2020,14,11,25,-3.0,75.0
215,2020,14,11,46,-1.0,70.0
216,2020,14,14,25,-3.0,75.0
217,2020,14,14,46,-2.0,70.0
218,2020,14,17,25,-4.0,75.0
219,2020,14,17,46,-3.0,75.0
220,2020,14,20,25,-4.0,75.0
221,2020,14,20,46,-4.0,75.0
222,2020,14,23,25,-3.0,70.0
223,2020,14,23,46,-4.0,75.0
224,2020,15,2,25,1.0,40.0
225,2020,15,2,46,-3.0,70.0
226,2020,15,5,25,2.0,45.0
227,2020,15,5,46,1.0,45.0
228,2020,15,8,25,-1.0,65.0
229,2020,15,8,46,2.0,45.0
230,2020,15,11,25,-2.0,65.0
231,2020,15,11,46,-1.0,60.0
232,2020,15,14,25,-3.0,75.0
233,2020,15,14,46,-2.0,70.0
234,2020,15,17,25,-4.0,80.0
235,2020,15,17,46,-3.0,80.0
236,2020,15,20,25,-4.0,75.0
237,2020,15,20,46,-2.0,75.0
238,2020,15,23,25,-3.0,70.0
239,2020,15,23,46,-3.0,80.0
240,2020,16,2,25,1.0,45.0
241,2020,16,2,46,-2.0,75.0
242,2020,16,5,25,2.0,50.0
243,2020,16,5,46,3.0,45.0
244,2020,16,8,25,-1.0,65.0
245,2020,16,8,46,4.0,40.0
246,2020,16,11,25,-2.0,70.0
247,2020,16,11,46,1.0,60.0
248,2020,16,14,25,-2.0,75.0
249,2020,16,14,46,-1.0,75.0
250,2020,16,17,25,-2.0,75.0
251,2020,16,17,46,-2.0,85.0
252,2020,16,20,25,-3.0,80.0
253,2020,16,20,46,-1.0,90.0
254,2020,16,23,25,-2.0,75.0
255,2020,16,23,46,-1.0,85.0
256,2020,17,2,25,3.0,40.0
257,2020,17,2,46,1.0,85.0
258,2020,17,5,25,4.0,40.0
259,2020,17,5,46,5.0,60.0
260,2020,17,8,25,1.0,60.0
261,2020,17,8,46,6.0,60.0
262,2020,17,11,25,-1.0,80.0
263,2020,17,11,46,4.0,65.0
264,2020,17,14,25,-2.0,85.0
265,2020,17,14,46,1.0,70.0
266,2020,17,17,25,-1.0,85.0
267,2020,17,17,46,-1.0,75.0
268,2020,17,20,25,-1.0,85.0
269,2020,17,20,46,0.0,75.0
270,2020,17,23,25,0.0,85.0
271,2020,17,23,46,0.0,75.0
272,2020,18,2,25,6.0,55.0
273,2020,18,2,46,1.0,70.0
274,2020,18,5,25,6.0,60.0
275,2020,18,5,46,4.0,55.0
276,2020,18,8,25,4.0,65.0
277,2020,18,8,46,4.0,50.0
278,2020,18,11,25,1.0,70.0
279,2020,18,11,46,3.0,60.0
280,2020,18,14,25,0.0,75.0
281,2020,18,14,46,1.0,65.0
282,2020,18,17,25,0.0,75.0
283,2020,18,17,46,-2.0,70.0
284,2020,18,20,25,-1.0,70.0
285,2020,18,20,46,-3.0,80.0
286,2020,18,23,25,0.0,70.0
287,2020,18,23,46,-5.0,85.0
288,2020,19,2,25,3.0,60.0
289,2020,19,2,46,-3.0,80.0
290,2020,19,5,25,5.0,50.0
291,2020,19,5,46,2.0,50.0
292,2020,19,8,25,2.0,55.0
293,2020,19,8,46,3.0,40.0
294,2020,19,11,25,0.0,60.0
