,year,day,hour,forecast,temp,hum
160,2018,11,2,25,-7.0,50.0
161,2018,11,2,46,-5.0,80.0
162,2018,11,5,25,-5.0,45.0
163,2018,11,5,46,3.0,45.0
164,2018,11,8,25,-7.0,60.0
165,2018,11,8,46,3.0,50.0
166,2018,11,11,25,-8.0,60.0
167,2018,11,11,46,-1.0,65.0
168,2018,11,14,25,-8.0,80.0
169,2018,11,14,46,-4.0,75.0
170,2018,11,17,25,-6.0,80.0
171,2018,11,17,46,-5.0,85.0
172,2018,11,20,25,-6.0,80.0
173,2018,11,20,46,-6.0,90.0
174,2018,11,23,25,-4.0,80.0
175,2018,11,23,46,-6.0,85.0
176,2018,12,2,25,2.0,50.0
177,2018,12,2,46,-4.0,75.0
178,2018,12,5,25,3.0,45.0
179,2018,12,5,46,3.0,55.0
180,2018,12,8,25,-1.0,70.0
181,2018,12,8,46,5.0,55.0
182,2018,12,11,25,-3.0,75.0
183,2018,12,11,46,2.0,65.0
184,2018,12,14,25,-5.0,85.0
185,2018,12,14,46,3.0,65.0
186,2018,12,17,25,-5.0,85.0
187,2018,12,17,46,2.0,75.0
188,2018,12,20,25,-6.0,85.0
189,2018,12,20,46,2.0,80.0
190,2018,12,23,25,-4.0,75.0
191,2018,12,23,46,2.0,85.0
192,2018,13,2,25,4.0,50.0
193,2018,13,2,46,1.0,90.0
194,2018,13,5,25,5.0,50.0
195,2018,13,5,46,6.0,65.0
196,2018,13,8,25,2.0,65.0
197,2018,13,8,46,6.0,55.0
198,2018,13,11,25,2.0,65.0
199,2018,13,11,46,1.0,70.0
200,2018,13,14,25,2.0,75.0
201,2018,13,14,46,-1.0,75.0
202,2018,13,17,25,2.0,80.0
203,2018,13,17,46,-2.0,80.0
204,2018,13,20,25,2.0,85.0
205,2018,13,20,46,-3.0,85.0
206,2018,13,23,25,1.0,95.0
207,2018,13,23,46,-1.0,85.0
208,2018,14,2,25,6.0,65.0
209,2018,14,2,46,1.0,90.0
210,2018,14,5,25,6.0,55.0
211,2018,14,5,46,4.0,85.0
212,2018,14,8,25,2.0,70.0
213,2018,14,8,46,5.0,80.0
214,2018,14,11,25,-1.0,80.0
215,2018,14,11,46,3.0,85.0
216,2018,14,14,25,-3.0,85.0
