,year,day,hour,forecast,temp,hum
0,2016,1,2,25,6.8,64.0
1,2016,1,2,46,6.0,90.0
2,2016,1,5,25,8.0,56.0
3,2016,1,5,46,9.0,73.0
4,2016,1,8,25,6.1,60.0
5,2016,1,8,46,12.1,60.0
6,2016,1,11,25,4.9,73.0
7,2016,1,11,46,11.0,72.0
8,2016,1,14,25,3.0,80.0
9,2016,1,14,46,7.3,82.0
10,2016,1,17,25,2.8,86.0
11,2016,1,17,46,5.9,91.0
12,2016,1,20,25,3.7,90.0
13,2016,1,20,46,7.6,84.0
14,2016,1,23,25,5.8,79.0
15,2016,1,23,46,8.7,84.0
16,2016,2,2,25,9.7,59.0
17,2016,2,2,46,11.1,78.0
18,2016,2,5,25,12.1,56.0
19,2016,2,5,46,15.0,57.0
20,2016,2,8,25,11.0,65.0
21,2016,2,8,46,16.0,61.0
22,2016,2,11,25,8.9,73.0
23,2016,2,11,46,14.9,75.0
24,2016,2,14,25,7.9,80.0
25,2016,2,14,46,13.9,85.0
26,2016,2,17,25,7.9,86.0
27,2016,2,17,46,12.1,89.0
28,2016,2,20,25,8.6,85.0
29,2016,2,20,46,11.1,81.0
30,2016,2,23,25,10.7,78.0
31,2016,2,23,46,11.1,81.0
32,2016,3,2,25,14.9,59.0
33,2016,3,2,46,14.1,71.0
34,2016,3,5,25,16.0,60.0
35,2016,3,5,46,17.0,74.0
36,2016,3,8,25,14.9,75.0
37,2016,3,8,46,14.9,89.0
38,2016,3,11,25,13.1,84.0
39,2016,3,11,46,12.1,86.0
40,2016,3,14,25,12.0,89.0
41,2016,3,14,46,7.9,75.0
42,2016,3,17,25,11.1,84.0
43,2016,3,17,46,5.6,80.0
44,2016,3,20,25,11.0,81.0
45,2016,3,20,46,3.9,88.0
46,2016,3,23,25,14.1,73.0
47,2016,3,23,46,3.3,88.0
48,2016,4,2,25,16.799999,80.0
49,2016,4,2,46,4.9,85.0
50,2016,4,5,25,15.4,85.0
51,2016,4,5,46,9.9,63.0
52,2016,4,8,25,12.5,90.0
