지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
637,2016-01-01 00:00,-1.3,195.2,2.1,0,1030.9,1033.7,,0,0
637,2016-01-01 01:00,-2.6,195.8,1.2,0,1030.8,1033.7,,0,0
637,2016-01-01 02:00,-3.1,217.7,1.5,0,1030.8,1033.7,,0,0
637,2016-01-01 03:00,-2.7,204.9,1.1,0,1030.8,1033.7,,0,0
637,2016-01-01 04:00,-3.3,164.8,1.1,0,1030.4,1033.3,,0,0
637,2016-01-01 05:00,-3.2,168.3,.7,0,1030.1,1033,,0,0
637,2016-01-01 06:00,-3.1,0,.4,0,1030.7,1033.6,,0,0
637,2016-01-01 07:00,-2.2,162.8,.7,0,1030.8,1033.7,,0,0
637,2016-01-01 08:00,-1.9,207.8,1.2,0,1030.7,1033.5,,0,0
637,2016-01-01 09:00,-.9,177.3,1.7,0,1031,1033.8,,0,0
637,2016-01-01 10:00,.5,173.2,1.7,0,1031.3,1034.1,,0,0
637,2016-01-01 11:00,2.8,151.6,1.8,0,1031,1033.8,,0,0
637,2016-01-01 12:00,4.6,166.2,1.8,0,1029.9,1032.7,,0,0
637,2016-01-01 13:00,6,151.6,1.3,0,1028.7,1031.5,,0,0
637,2016-01-01 14:00,6.2,183.6,1.4,0,1027.9,1030.7,,0,0
637,2016-01-01 15:00,6.3,266.2,2.6,0,1027.5,1030.3,,0,0
637,2016-01-01 16:00,6.2,232.2,3.3,0,1027.1,1029.9,,0,0
637,2016-01-01 17:00,5.5,240.1,3.3,0,1027.2,1030,,0,0
637,2016-01-01 18:00,4.5,219.6,.9,0,1027.1,1029.9,,0,0
637,2016-01-01 19:00,4.5,191.9,1.6,0,1027,1029.8,,0,0
637,2016-01-01 20:00,4.1,181.5,1.6,0,1026.7,1029.5,,0,0
637,2016-01-01 21:00,3.8,181.8,1.4,0,1026.2,1029,,0,0
637,2016-01-01 22:00,3.9,152.9,1.5,0,1025.6,1028.4,,0,0
637,2016-01-01 23:00,3.5,155.5,1.2,0,1025.1,1027.9,,0,0
637,2016-01-02 00:00,3.4,180.5,1,0,1025.1,1027.9,,0,0
637,2016-01-02 01:00,2.1,186.4,1.2,0,1024.4,1027.2,,0,0
637,2016-01-02 02:00,2.3,156.7,1.1,0,1024.3,1027.1,,0,0
637,2016-01-02 03:00,2.9,184.4,1.9,0,1023.8,1026.6,,0,0
637,2016-01-02 04:00,1.9,179.3,2.3,0,1022.9,1025.7,,0,0
637,2016-01-02 05:00,1.5,202.4,2,0,1022.8,1025.6,,0,0
