지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
637,2017-01-01 00:00,1.5,208,1.9,0,1027.4,1030.2,,0,0
637,2017-01-01 01:00,1.6,214.4,1.3,0,1027,1029.8,,0,0
637,2017-01-01 02:00,1.3,211.4,1.1,0,1027,1029.8,,0,0
637,2017-01-01 03:00,1.1,172.5,1.1,0,1027.2,1030,,0,0
637,2017-01-01 04:00,.4,0,.1,0,1027,1029.8,,0,0
637,2017-01-01 05:00,.2,118.2,.8,0,1026.5,1029.3,,0,0
637,2017-01-01 06:00,.2,226.9,.8,0,1026.5,1029.3,,0,0
637,2017-01-01 07:00,.1,163.2,.8,0,1027.1,1029.9,,0,0
637,2017-01-01 08:00,-.2,192.1,1.1,0,1027.5,1030.3,,0,0
637,2017-01-01 09:00,1.2,192.4,1.7,0,1027.9,1030.7,,0,0
637,2017-01-01 10:00,2.1,199.6,1,0,1028.4,1031.2,,0,0
637,2017-01-01 11:00,4.1,128.3,.8,0,1028.3,1031.1,,0,0
637,2017-01-01 12:00,5.8,174.6,1.7,0,1027.1,1029.9,,0,0
637,2017-01-01 13:00,8.2,200.3,2.7,0,1026.2,1028.9,,0,0
637,2017-01-01 14:00,10.5,175.2,2.4,0,1025.2,1027.9,,0,0
637,2017-01-01 15:00,9.7,230.6,2.1,0,1024.7,1027.4,,0,0
637,2017-01-01 16:00,9.4,266.7,1.4,0,1024.7,1027.4,,0,0
637,2017-01-01 17:00,8.5,254.5,1,0,1024.3,1027,,0,0
637,2017-01-01 18:00,6.7,0,.4,0,1023.9,1026.6,,0,0
637,2017-01-01 19:00,5,0,.3,0,1023.5,1026.3,,0,0
637,2017-01-01 20:00,4.1,164.3,.5,0,1023.7,1026.5,,0,0
637,2017-01-01 21:00,3.6,178.2,.6,0,1023,1025.8,,0,0
637,2017-01-01 22:00,2.3,222.5,1.5,0,1022.8,1025.6,,0,0
637,2017-01-01 23:00,2.9,219.5,1.6,0,1022.7,1025.5,,0,0
637,2017-01-02 00:00,2.9,176.1,2,0,1022.5,1025.3,,0,0
637,2017-01-02 01:00,2.8,180.5,1,0,1021.8,1024.6,,0,0
637,2017-01-02 02:00,1.5,204.2,1.6,0,1021.6,1024.4,,0,0
637,2017-01-02 03:00,3.1,205.4,1.7,0,1021.9,1024.7,,0,0
637,2017-01-02 04:00,2.6,206.1,1.2,0,1021.3,1024.1,,0,0
637,2017-01-02 05:00,2.4,167.6,1.4,0,1020.7,1023.5,,0,0
637,2017-01-02 06:00,2.5,199.7,2.1,0,1020.3,1023.1,,0,0
637,2017-01-02 07:00,2.9,201.1,2.1,0,1020.1,1022.9,,0,0
637,2017-01-02 08:00,2.7,196.8,2.9,0,1020,1022.8,,0,0
637,2017-01-02 09:00,3.2,215.2,1.8,0,1020.2,1023,,0,0
637,2017-01-02 10:00,5.4,212.3,2.9,0,1020.4,1023.1,,0,0
637,2017-01-02 11:00,7.8,209,2.7,0,1020.7,1023.4,,0,0
637,2017-01-02 12:00,9.9,242.9,2.5,0,1019.9,1022.6,,0,0
637,2017-01-02 13:00,9.4,320,2,0,1019.6,1022.3,,0,0
637,2017-01-02 14:00,10.2,297,2.6,0,1018.9,1021.6,,0,0
637,2017-01-02 15:00,10.7,291.2,3.9,0,1018.9,1021.6,,0,0
637,2017-01-02 16:00,9.2,294.6,3.9,0,1019.7,1022.4,,0,0
637,2017-01-02 17:00,7.6,296.8,3.1,0,1019.9,1022.6,,0,0
637,2017-01-02 18:00,5.9,260.7,1.1,0,1020.1,1022.8,,0,0
637,2017-01-02 19:00,6,242.9,.8,0,1020.5,1023.2,,0,0
637,2017-01-02 20:00,6,269.6,1.4,0,1020.9,1023.6,,0,0
637,2017-01-02 21:00,4.1,269.9,1.2,0,1020.8,1023.6,,0,0
637,2017-01-02 22:00,4.2,259.2,1.5,0,1021.1,1023.9,,0,0
637,2017-01-02 23:00,3.8,259.4,1.5,0,1021.3,1024.1,,0,0
637,2017-01-03 00:00,3.3,305.3,1.6,0,1021.7,1024.5,,0,0
637,2017-01-03 01:00,2.6,295.2,1.9,0,1021.9,1024.7,,0,0
637,2017-01-03 02:00,2,292.6,1.5,0,1022.2,1025,,0,0
